GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0019787	ubiquitin-like protein transferase activ...	725	79	34.86	7.4e-12	2.74762e-08	MF
GO:0004842	ubiquitin-protein transferase activity	693	75	33.32	3.6e-11	6.6834e-08	MF
GO:0044389	ubiquitin-like protein ligase binding	726	76	34.9	1.3e-10	1.60896666666667e-07	MF
GO:0031625	ubiquitin protein ligase binding	696	71	33.46	1.6e-09	1.4852e-06	MF
GO:0089720	caspase binding	86	20	4.13	3.2e-09	2.37632e-06	MF
GO:0061659	ubiquitin-like protein ligase activity	481	53	23.12	1.6e-08	9.90133333333333e-06	MF
GO:0046914	transition metal ion binding	1208	101	58.08	3e-08	1.59128571428571e-05	MF
GO:0061630	ubiquitin protein ligase activity	476	50	22.88	1.8e-07	8.35425e-05	MF
GO:0051082	unfolded protein binding	130	22	6.25	2.4e-07	9.90133333333333e-05	MF
GO:0140098	catalytic activity, acting on RNA	532	53	25.58	4.3e-07	0.000159659	MF
GO:0008135	translation factor activity, RNA binding	103	18	4.95	1.8e-06	0.000607581818181818	MF
GO:0017172	cysteine dioxygenase activity	10	6	0.48	2.2e-06	0.000680716666666667	MF
GO:0008186	ATP-dependent activity, acting on RNA	95	17	4.57	2.5e-06	0.000714038461538462	MF
GO:0140096	catalytic activity, acting on a protein	3955	246	190.14	3.6e-06	0.000954771428571429	MF
GO:0002020	protease binding	290	33	13.94	4.1e-06	0.000961011764705882	MF
GO:0043027	cysteine-type endopeptidase inhibitor ac...	109	18	5.24	4.3e-06	0.000961011764705882	MF
GO:0043028	cysteine-type endopeptidase regulator ac...	120	19	5.77	4.4e-06	0.000961011764705882	MF
GO:0003824	catalytic activity	9422	519	452.98	4.7e-06	0.000969505555555556	MF
GO:0097677	STAT family protein binding	17	7	0.82	7.4e-06	0.00144611578947368	MF
GO:0051087	chaperone binding	183	24	8.8	7.8e-06	0.00144807	MF
GO:0031072	heat shock protein binding	224	27	10.77	1.1e-05	0.00177578260869565	MF
GO:0004812	aminoacyl-tRNA ligase activity	65	13	3.12	1.1e-05	0.00177578260869565	MF
GO:0016875	ligase activity, forming carbon-oxygen b...	65	13	3.12	1.1e-05	0.00177578260869565	MF
GO:0008384	IkappaB kinase activity	13	6	0.62	1.6e-05	0.00247533333333333	MF
GO:0003724	RNA helicase activity	90	15	4.33	2.4e-05	0.00356448	MF
