group	GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
down	GO:0016491	oxidoreductase activity	1029	276	164.79	7.6e-20	2.82188e-16	MF
down	GO:0140640	catalytic activity, acting on a nucleic ...	860	237	137.73	1.1e-18	2.04215e-15	MF
down	GO:0003824	catalytic activity	9422	1711	1508.94	9.5e-16	1.17578333333333e-12	MF
down	GO:0140098	catalytic activity, acting on RNA	532	148	85.2	2e-12	1.8565e-09	MF
down	GO:0004364	glutathione transferase activity	41	25	6.57	8.7e-11	6.46062e-08	MF
down	GO:0016616	oxidoreductase activity, acting on the C...	194	65	31.07	1.3e-09	8.04483333333333e-07	MF
down	GO:0140097	catalytic activity, acting on DNA	382	105	61.18	6.7e-09	3.55387142857143e-06	MF
down	GO:0016853	isomerase activity	199	64	31.87	1.1e-08	5.105375e-06	MF
down	GO:0016614	oxidoreductase activity, acting on CH-OH...	214	67	34.27	1.7e-08	7.01344444444445e-06	MF
down	GO:0004521	endoribonuclease activity	81	33	12.97	8.8e-08	3.26744e-05	MF
down	GO:0016765	transferase activity, transferring alkyl...	115	41	18.42	2.1e-07	7.08845454545455e-05	MF
down	GO:0004518	nuclease activity	318	86	50.93	3.3e-07	0.0001021075	MF
down	GO:0003684	damaged DNA binding	94	35	15.05	4.9e-07	0.000139951538461538	MF
down	GO:0009055	electron transfer activity	130	43	20.82	1.2e-06	0.000318257142857143	MF
down	GO:0004519	endonuclease activity	174	53	27.87	1.3e-06	0.000321793333333333	MF
down	GO:0008168	methyltransferase activity	243	68	38.92	1.5e-06	0.00034809375	MF
down	GO:0016740	transferase activity	3694	682	591.6	4.8e-06	0.00104837647058824	MF
down	GO:0016860	intramolecular oxidoreductase activity	67	26	10.73	5.9e-06	0.00121703888888889	MF
down	GO:1900750	oligopeptide binding	32	16	5.12	8.2e-06	0.00152233	MF
down	GO:0016741	transferase activity, transferring one-c...	264	70	42.28	8.2e-06	0.00152233	MF
down	GO:0008173	RNA methyltransferase activity	77	28	12.33	1.1e-05	0.0018565	MF
down	GO:0004602	glutathione peroxidase activity	36	17	5.77	1.1e-05	0.0018565	MF
down	GO:0016209	antioxidant activity	124	39	19.86	1.4e-05	0.00207928	MF
down	GO:0004523	RNA-DNA hybrid ribonuclease activity	10	8	1.6	1.4e-05	0.00207928	MF
down	GO:0008106	alcohol dehydrogenase (NADP+) activity	10	8	1.6	1.4e-05	0.00207928	MF
down	GO:0008757	S-adenosylmethionine-dependent methyltra...	212	58	33.95	1.8e-05	0.00257053846153846	MF
down	GO:0016667	oxidoreductase activity, acting on a sul...	79	28	12.65	2e-05	0.00265214285714286	MF
down	GO:1904047	S-adenosyl-L-methionine binding	21	12	3.36	2e-05	0.00265214285714286	MF
down	GO:0015036	disulfide oxidoreductase activity	52	21	8.33	2.2e-05	0.00281675862068966	MF
down	GO:0043295	glutathione binding	31	15	4.96	2.6e-05	0.00321793333333333	MF
down	GO:0016829	lyase activity	264	68	42.28	3e-05	0.00359322580645161	MF
down	GO:0016645	oxidoreductase activity, acting on the C...	35	16	5.61	3.4e-05	0.00382551515151515	MF
down	GO:0016893	endonuclease activity, active with eithe...	61	23	9.77	3.4e-05	0.00382551515151515	MF
down	GO:0016790	thiolester hydrolase activity	131	39	20.98	5.5e-05	0.00600632352941176	MF
down	GO:0042162	telomeric DNA binding	63	23	10.09	6.2e-05	0.00657731428571429	MF
down	GO:0016861	intramolecular oxidoreductase activity, ...	9	7	1.44	7.2e-05	0.0072252972972973	MF
down	GO:0032135	DNA insertion or deletion binding	9	7	1.44	7.2e-05	0.0072252972972973	MF
down	GO:0016877	ligase activity, forming carbon-sulfur b...	60	22	9.61	8.3e-05	0.00790202564102564	MF
down	GO:0016627	oxidoreductase activity, acting on the C...	89	29	14.25	8.3e-05	0.00790202564102564	MF
down	GO:0016878	acid-thiol ligase activity	45	18	7.21	9.8e-05	0.00905609756097561	MF
down	GO:0052650	NADP-retinol dehydrogenase activity	7	6	1.12	1e-04	0.00905609756097561	MF
down	GO:0015038	glutathione disulfide oxidoreductase act...	5	5	0.8	0.00011	0.00949837209302326	MF
down	GO:0051287	NAD binding	57	21	9.13	0.00011	0.00949837209302326	MF
down	GO:0016746	acyltransferase activity	300	73	48.05	0.00012	0.0101263636363636	MF
down	GO:0047134	protein-disulfide reductase (NAD(P)) act...	21	11	3.36	0.00013	0.0107264444444444	MF
down	GO:0004386	helicase activity	169	46	27.07	0.00014	0.0113004347826087	MF
down	GO:0003676	nucleic acid binding	3174	578	508.32	0.00015	0.01185	MF
down	GO:0016891	endoribonuclease activity, producing 5'-...	43	17	6.89	0.00018	0.01392375	MF
down	GO:0004529	exodeoxyribonuclease activity	32	14	5.12	0.00019	0.0141094	MF
down	GO:0016895	exodeoxyribonuclease activity, producing...	32	14	5.12	0.00019	0.0141094	MF
down	GO:0016655	oxidoreductase activity, acting on NAD(P...	40	16	6.41	0.00024	0.0174729411764706	MF
down	GO:0140101	catalytic activity, acting on a tRNA	164	44	26.26	0.00028	0.0199930769230769	MF
down	GO:0070034	telomerase RNA binding	26	12	4.16	0.00029	0.0203164150943396	MF
down	GO:0004540	ribonuclease activity	184	48	29.47	0.00031	0.0213153703703704	MF
down	GO:0043175	RNA polymerase core enzyme binding	41	16	6.57	0.00033	0.022278	MF
down	GO:0004745	NAD-retinol dehydrogenase activity	30	13	4.8	0.00036	0.022655593220339	MF
down	GO:0008171	O-methyltransferase activity	23	11	3.68	0.00036	0.022655593220339	MF
down	GO:0016408	C-acyltransferase activity	23	11	3.68	0.00036	0.022655593220339	MF
down	GO:0016668	oxidoreductase activity, acting on a sul...	23	11	3.68	0.00036	0.022655593220339	MF
down	GO:0016706	2-oxoglutarate-dependent dioxygenase act...	54	19	8.65	0.00045	0.0278475	MF
down	GO:0016763	pentosyltransferase activity	63	21	10.09	0.00054	0.0328691803278689	MF
down	GO:0000404	heteroduplex DNA loop binding	4	4	0.64	0.00066	0.0377012307692308	MF
down	GO:0004047	aminomethyltransferase activity	4	4	0.64	0.00066	0.0377012307692308	MF
down	GO:0016672	oxidoreductase activity, acting on a sul...	4	4	0.64	0.00066	0.0377012307692308	MF
down	GO:0019166	trans-2-enoyl-CoA reductase (NADPH) acti...	4	4	0.64	0.00066	0.0377012307692308	MF
down	GO:0070279	vitamin B6 binding	60	20	9.61	0.00072	0.0405054545454545	MF
down	GO:0016903	oxidoreductase activity, acting on the a...	73	23	11.69	0.00074	0.0408968115942029	MF
down	GO:0000993	RNA polymerase II complex binding	32	13	5.12	0.00076	0.0408968115942029	MF
down	GO:0030170	pyridoxal phosphate binding	56	19	8.97	0.00076	0.0408968115942029	MF
down	GO:0016620	oxidoreductase activity, acting on the a...	52	18	8.33	0.00079	0.0419038571428571	MF
down	GO:0004033	aldo-keto reductase (NADP) activity	18	9	2.88	0.00083	0.0434054929577465	MF
down	GO:0016651	oxidoreductase activity, acting on NAD(P...	124	34	19.86	0.00085	0.0438340277777778	MF
down	GO:0035252	UDP-xylosyltransferase activity	9	6	1.44	0.00091	0.0450510666666667	MF
down	GO:0042285	xylosyltransferase activity	9	6	1.44	0.00091	0.0450510666666667	MF
down	GO:0048256	flap endonuclease activity	9	6	1.44	0.00091	0.0450510666666667	MF
down	GO:0003909	DNA ligase activity	15	8	2.4	0.00095	0.0464125	MF
down	GO:0043130	ubiquitin binding	125	34	20.02	0.00099	0.0477385714285714	MF
down	GO:0004667	prostaglandin-D synthase activity	12	7	1.92	0.00101	0.0480785897435897	MF
down	GO:0004527	exonuclease activity	135	36	21.62	0.00106	0.04982	MF
down	GO:0005739	mitochondrion	2219	542	361.8	1.1e-25	1.9228e-22	CC
down	GO:0005759	mitochondrial matrix	647	202	105.49	9.4e-22	8.2156e-19	CC
down	GO:0031974	membrane-enclosed lumen	7794	1465	1270.78	4.3e-14	1.748e-11	CC
down	GO:0070013	intracellular organelle lumen	7785	1463	1269.31	5e-14	1.748e-11	CC
down	GO:0043233	organelle lumen	7791	1464	1270.29	5e-14	1.748e-11	CC
down	GO:0043231	intracellular membrane-bounded organelle	15216	2627	2480.9	2e-10	5.82666666666667e-08	CC
down	GO:0098798	mitochondrial protein-containing complex	296	90	48.26	9.2e-10	2.29737142857143e-07	CC
down	GO:0005657	replication fork	76	35	12.39	1.2e-09	2.622e-07	CC
down	GO:0005777	peroxisome	332	94	54.13	2.1e-08	3.6708e-06	CC
down	GO:0042579	microbody	332	94	54.13	2.1e-08	3.6708e-06	CC
down	GO:1990391	DNA repair complex	57	27	9.29	4.3e-08	6.83309090909091e-06	CC
down	GO:0140535	intracellular protein-containing complex	1239	272	202.01	5.4e-08	7.866e-06	CC
down	GO:0000313	organellar ribosome	92	35	15	4.2e-07	5.01093333333333e-05	CC
down	GO:0005761	mitochondrial ribosome	92	35	15	4.2e-07	5.01093333333333e-05	CC
down	GO:0005740	mitochondrial envelope	943	211	153.75	4.3e-07	5.01093333333333e-05	CC
down	GO:1990234	transferase complex	1170	253	190.76	5.9e-07	6.44575e-05	CC
down	GO:0140513	nuclear protein-containing complex	1754	358	285.98	1.3e-06	0.000133670588235294	CC
down	GO:0043596	nuclear replication fork	29	16	4.73	1.9e-06	0.000184511111111111	CC
down	GO:0000109	nucleotide-excision repair complex	13	10	2.12	2.3e-06	0.0002116	CC
down	GO:0043227	membrane-bounded organelle	15960	2701	2602.21	5e-06	0.000437	CC
down	GO:0019866	organelle inner membrane	655	150	106.79	5.5e-06	0.000457809523809524	CC
down	GO:0005743	mitochondrial inner membrane	575	134	93.75	6.8e-06	0.00050255	CC
down	GO:0031966	mitochondrial membrane	889	194	144.95	6.9e-06	0.00050255	CC
down	GO:0043601	nuclear replisome	14	10	2.28	6.9e-06	0.00050255	CC
down	GO:0005622	intracellular anatomical structure	18813	3134	3067.38	7.6e-06	0.000531392	CC
down	GO:0005778	peroxisomal membrane	99	34	16.14	8.8e-06	0.000569718518518519	CC
down	GO:0031903	microbody membrane	99	34	16.14	8.8e-06	0.000569718518518519	CC
down	GO:0030894	replisome	17	11	2.77	1e-05	0.000624285714285714	CC
down	GO:0000314	organellar small ribosomal subunit	34	16	5.54	2.7e-05	0.0015732	CC
down	GO:0005763	mitochondrial small ribosomal subunit	34	16	5.54	2.7e-05	0.0015732	CC
down	GO:0005782	peroxisomal matrix	122	38	19.89	3.4e-05	0.00185725	CC
down	GO:0031907	microbody lumen	122	38	19.89	3.4e-05	0.00185725	CC
