group	GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
up	GO:0019787	ubiquitin-like protein transferase activ...	725	79	34.86	7.4e-12	2.74762e-08	MF
up	GO:0004842	ubiquitin-protein transferase activity	693	75	33.32	3.6e-11	6.6834e-08	MF
up	GO:0044389	ubiquitin-like protein ligase binding	726	76	34.9	1.3e-10	1.60896666666667e-07	MF
up	GO:0031625	ubiquitin protein ligase binding	696	71	33.46	1.6e-09	1.4852e-06	MF
up	GO:0089720	caspase binding	86	20	4.13	3.2e-09	2.37632e-06	MF
up	GO:0061659	ubiquitin-like protein ligase activity	481	53	23.12	1.6e-08	9.90133333333334e-06	MF
up	GO:0046914	transition metal ion binding	1208	101	58.08	3e-08	1.59128571428571e-05	MF
up	GO:0061630	ubiquitin protein ligase activity	476	50	22.88	1.8e-07	8.35425e-05	MF
up	GO:0051082	unfolded protein binding	130	22	6.25	2.4e-07	9.90133333333333e-05	MF
up	GO:0140098	catalytic activity, acting on RNA	532	53	25.58	4.3e-07	0.000159659	MF
up	GO:0008135	translation factor activity, RNA binding	103	18	4.95	1.8e-06	0.000607581818181818	MF
up	GO:0017172	cysteine dioxygenase activity	10	6	0.48	2.2e-06	0.000680716666666667	MF
up	GO:0008186	ATP-dependent activity, acting on RNA	95	17	4.57	2.5e-06	0.000714038461538462	MF
up	GO:0140096	catalytic activity, acting on a protein	3955	246	190.14	3.6e-06	0.000954771428571429	MF
up	GO:0002020	protease binding	290	33	13.94	4.1e-06	0.000961011764705882	MF
up	GO:0043027	cysteine-type endopeptidase inhibitor ac...	109	18	5.24	4.3e-06	0.000961011764705882	MF
up	GO:0043028	cysteine-type endopeptidase regulator ac...	120	19	5.77	4.4e-06	0.000961011764705882	MF
up	GO:0003824	catalytic activity	9422	519	452.98	4.7e-06	0.000969505555555556	MF
up	GO:0097677	STAT family protein binding	17	7	0.82	7.4e-06	0.00144611578947368	MF
up	GO:0051087	chaperone binding	183	24	8.8	7.8e-06	0.00144807	MF
up	GO:0031072	heat shock protein binding	224	27	10.77	1.1e-05	0.00177578260869565	MF
up	GO:0004812	aminoacyl-tRNA ligase activity	65	13	3.12	1.1e-05	0.00177578260869565	MF
up	GO:0016875	ligase activity, forming carbon-oxygen b...	65	13	3.12	1.1e-05	0.00177578260869565	MF
up	GO:0008384	IkappaB kinase activity	13	6	0.62	1.6e-05	0.00247533333333333	MF
up	GO:0003724	RNA helicase activity	90	15	4.33	2.4e-05	0.00356448	MF
up	GO:0005126	cytokine receptor binding	210	25	10.1	2.8e-05	0.00399861538461539	MF
up	GO:0004623	phospholipase A2 activity	35	9	1.68	3e-05	0.00412555555555556	MF
up	GO:0008270	zinc ion binding	872	69	41.92	3.2e-05	0.00424342857142857	MF
up	GO:0140101	catalytic activity, acting on a tRNA	164	21	7.88	4.1e-05	0.00524941379310345	MF
up	GO:0004869	cysteine-type endopeptidase inhibitor ac...	132	18	6.35	6.2e-05	0.00754577419354839	MF
up	GO:0043022	ribosome binding	66	12	3.17	6.3e-05	0.00754577419354839	MF
up	GO:1990381	ubiquitin-specific protease binding	39	9	1.87	7.6e-05	0.008818375	MF
up	GO:0008139	nuclear localization sequence binding	40	9	1.92	9.4e-05	0.0105764242424242	MF
up	GO:0032813	tumor necrosis factor receptor superfami...	59	11	2.84	1e-04	0.0109205882352941	MF
up	GO:0001639	PLC activating G protein-coupled glutama...	3	3	0.14	0.00011	0.0113452777777778	MF
up	GO:0099530	G protein-coupled receptor activity invo...	3	3	0.14	0.00011	0.0113452777777778	MF
up	GO:0004866	endopeptidase inhibitor activity	180	21	8.65	0.00016	0.0160562162162162	MF
up	GO:0047499	calcium-independent phospholipase A2 act...	7	4	0.34	0.00017	0.0166107894736842	MF
up	GO:0030414	peptidase inhibitor activity	182	21	8.75	0.00018	0.0171369230769231	MF
up	GO:0061134	peptidase regulator activity	238	25	11.44	0.00021	0.01949325	MF
up	GO:0061135	endopeptidase regulator activity	186	21	8.94	0.00025	0.0224506976744186	MF
up	GO:0005123	death receptor binding	20	6	0.96	0.00026	0.0224506976744186	MF
up	GO:0036435	K48-linked polyubiquitin modification-de...	20	6	0.96	0.00026	0.0224506976744186	MF
up	GO:0031369	translation initiation factor binding	89	13	4.28	0.00032	0.0270036363636364	MF
up	GO:0008395	steroid hydroxylase activity	38	8	1.83	0.00037	0.0305291111111111	MF
up	GO:0031624	ubiquitin conjugating enzyme binding	80	12	3.85	0.00042	0.0339013043478261	MF
up	GO:0004711	ribosomal protein S6 kinase activity	4	3	0.19	0.00043	0.03397	MF
up	GO:0043169	cation binding	2381	148	114.47	0.00053	0.0401610204081633	MF
up	GO:0045182	translation regulator activity	253	25	12.16	0.00053	0.0401610204081633	MF
up	GO:0031685	adenosine receptor binding	9	4	0.43	0.00055	0.040843	MF
up	GO:0098827	endoplasmic reticulum subcompartment	1308	122	60.61	6.5e-14	1.1362e-10	CC
up	GO:0005789	endoplasmic reticulum membrane	1265	118	58.62	1.7e-13	1.4858e-10	CC
up	GO:0042175	nuclear outer membrane-endoplasmic retic...	1280	118	59.31	3.9e-13	2.2724e-10	CC
up	GO:0033256	I-kappaB/NF-kappaB complex	11	8	0.51	3e-09	1.311e-06	CC
up	GO:0030176	integral component of endoplasmic reticu...	237	31	10.98	1.9e-07	6.6424e-05	CC
up	GO:0031227	intrinsic component of endoplasmic retic...	250	31	11.58	6.2e-07	0.000180626666666667	CC
up	GO:0030660	Golgi-associated vesicle membrane	132	21	6.12	7.3e-07	0.000182291428571429	CC
up	GO:0031984	organelle subcompartment	2458	160	113.9	4.3e-06	0.000932266666666667	CC
up	GO:0035631	CD40 receptor complex	45	11	2.09	4.8e-06	0.000932266666666667	CC
up	GO:0043231	intracellular membrane-bounded organelle	15216	762	705.07	8.6e-06	0.00136926666666667	CC
up	GO:0031301	integral component of organelle membrane	502	46	23.26	8.9e-06	0.00136926666666667	CC
up	GO:0005783	endoplasmic reticulum	2794	176	129.47	9.4e-06	0.00136926666666667	CC
up	GO:0098802	plasma membrane signaling receptor compl...	247	28	11.45	1.2e-05	0.00161353846153846	CC
up	GO:0036513	Derlin-1 retrotranslocation complex	16	6	0.74	5.2e-05	0.00649257142857143	CC
up	GO:0031300	intrinsic component of organelle membran...	565	47	26.18	8.1e-05	0.0094392	CC
up	GO:0140534	endoplasmic reticulum protein-containing...	141	18	6.53	9.3e-05	0.01016025	CC
up	GO:0016281	eukaryotic translation initiation factor...	12	5	0.56	0.00013	0.0133670588235294	CC
up	GO:0005643	nuclear pore	136	17	6.3	0.00019	0.0184511111111111	CC
up	GO:0012507	ER to Golgi transport vesicle membrane	57	10	2.64	0.00026	0.02392	CC
up	GO:0044322	endoplasmic reticulum quality control co...	21	6	0.97	0.00029	0.0249714285714286	CC
up	GO:0031080	nuclear pore outer ring	14	5	0.65	3e-04	0.0249714285714286	CC
up	GO:0000835	ER ubiquitin ligase complex	4	3	0.19	0.00038	0.0276766666666667	CC
up	GO:0033257	Bcl3/NF-kappaB2 complex	4	3	0.19	0.00038	0.0276766666666667	CC
up	GO:0038038	G protein-coupled receptor homodimeric c...	4	3	0.19	0.00038	0.0276766666666667	CC
up	GO:0000308	cytoplasmic cyclin-dependent protein kin...	9	4	0.42	0.00048	0.0335616	CC
up	GO:0030126	COPI vesicle coat	23	6	1.07	5e-04	0.0336153846153846	CC
up	GO:0005798	Golgi-associated vesicle	339	30	15.71	0.00056	0.0362548148148148	CC
up	GO:0044614	nuclear pore cytoplasmic filaments	10	4	0.46	0.00077	0.047196	CC
up	GO:0017101	aminoacyl-tRNA synthetase multienzyme co...	25	6	1.16	0.00081	0.047196	CC
up	GO:0030663	COPI-coated vesicle membrane	25	6	1.16	0.00081	0.047196	CC
up	GO:0005844	polysome	102	13	4.73	0.00086	0.0484929032258065	CC
up	GO:0009615	response to virus	584	72	27.94	1.5e-13	2.25255e-09	BP
up	GO:0002831	regulation of response to biotic stimulu...	891	93	42.63	9.5e-13	7.133075e-09	BP
up	GO:0070647	protein modification by small protein co...	1571	138	75.16	1.5e-12	7.5085e-09	BP
up	GO:0019221	cytokine-mediated signaling pathway	733	80	35.07	4.3e-12	1.6143275e-08	BP
up	GO:0032446	protein modification by small protein co...	1275	117	61	5.8e-12	1.741972e-08	BP
up	GO:0034097	response to cytokine	1657	141	79.27	8.5e-12	2.12740833333333e-08	BP
up	GO:0002759	regulation of antimicrobial humoral resp...	165	32	7.89	1.1e-11	2.35981428571429e-08	BP
