kegg.id	kegg.lab	p.geomean	stat.mean	p.val	q.val	set.size	exp1
ko04064	NF-kappa B signaling pathway	1.4649913963885e-08	5.86641771567387	1.46499139638849e-08	5.02492048961253e-06	92	1.4649913963885e-08
ko04621	NOD-like receptor signaling pathway	2.08619181463665e-07	5.19653965201451	2.08619181463665e-07	3.57781896210185e-05	150	2.08619181463665e-07
ko00980	Metabolism of xenobiotics by cytochrome P450	7.02707632014163e-07	5.03401803593467	7.02707632014165e-07	8.03429059269529e-05	77	7.02707632014163e-07
ko01524	Platinum drug resistance	1.09323460598294e-06	4.8776972495441	1.09323460598294e-06	8.85336683045528e-05	115	1.09323460598294e-06
ko04668	TNF signaling pathway	1.31346347925651e-06	4.83338138722954	1.3134634792565e-06	8.85336683045528e-05	123	1.31346347925651e-06
ko04624	Toll and Imd signaling pathway	1.54869390620208e-06	4.87346997352627	1.54869390620209e-06	8.85336683045528e-05	86	1.54869390620208e-06
ko05204	Chemical carcinogenesis - DNA adducts	4.51784047811383e-06	4.58133876478575	4.51784047811383e-06	0.000221374183427577	98	4.51784047811383e-06
ko00982	Drug metabolism - cytochrome P450	5.62860558295218e-06	4.5520591918245	5.62860558295216e-06	0.000241326464369074	74	5.62860558295218e-06
ko05145	Toxoplasmosis	6.6577349159787e-06	4.47625675311123	6.6577349159787e-06	0.000253733675131188	115	6.6577349159787e-06
ko01120	Microbial metabolism in diverse environments	8.61635102200891e-06	4.34205637391815	8.61635102200895e-06	0.000295540840054907	245	8.6163510220089e-06
ko00590	Arachidonic acid metabolism	1.45689748762376e-05	4.28973497455732	1.45689748762377e-05	0.00045428712568632	103	1.45689748762376e-05
ko04622	RIG-I-like receptor signaling pathway	3.54238011029221e-05	4.14961202877178	3.54238011029221e-05	0.00101253031485852	55	3.54238011029221e-05
ko04620	Toll-like receptor signaling pathway	4.47308205981315e-05	4.05126930026132	4.47308205981314e-05	0.00118020549731993	73	4.47308205981315e-05
ko05222	Small cell lung cancer	5.25440650169441e-05	3.94943866007207	5.25440650169442e-05	0.00128732959291513	128	5.25440650169441e-05
ko04210	Apoptosis	7.8284398438814e-05	3.82980610986039	7.82843984388144e-05	0.00179010324430089	168	7.8284398438814e-05
ko05200	Pathways in cancer	0.000149237935147259	3.63061641452542	0.000149237935147259	0.00319928823471937	465	0.000149237935147259
ko05164	Influenza A	0.000180225773578334	3.6209370537837	0.000180225773578334	0.00363632001984521	140	0.000180225773578334
ko00270	Cysteine and methionine metabolism	0.000199554598704384	3.65395465878622	0.000199554598704384	0.00380262374197798	71	0.000199554598704384
ko05161	Hepatitis B	0.000240060589830414	3.54680276003956	0.000240060589830414	0.00433372538483327	115	0.000240060589830414
ko04215	Apoptosis - multiple species	0.000290231998022681	3.53335215932858	0.000290231998022681	0.0047771927546221	75	0.000290231998022681
ko04657	IL-17 signaling pathway	0.000292481189058495	3.5200494223858	0.000292481189058496	0.0047771927546221	73	0.000292481189058495
ko05220	Chronic myeloid leukemia	0.000373935003679354	3.45742327561545	0.000373935003679353	0.00582998664827354	69	0.000373935003679354
ko00260	Glycine, serine and threonine metabolism	0.000500391490622123	3.37644377873134	0.000500391490622124	0.0074623600557995	63	0.000500391490622122
ko00591	Linoleic acid metabolism	0.000535434744703268	3.3729181864085	0.000535434744703268	0.00765225489305087	59	0.000535434744703268
ko00983	Drug metabolism - other enzymes	0.000601977126700117	3.27492389437946	0.000601977126700118	0.00776733871632794	128	0.000601977126700117
ko00410	beta-Alanine metabolism	0.000627802002352332	3.32897098475151	0.000627802002352332	0.00776733871632794	48	0.000627802002352332
ko00830	Retinol metabolism	0.000634518900518812	3.31019212428516	0.000634518900518813	0.00776733871632794	66	0.000634518900518812
ko01200	Carbon metabolism	0.00065761621937874	3.24599729296555	0.000657616219378737	0.00776733871632794	146	0.00065761621937874
ko03030	DNA replication	0.000678019071271969	3.32265169238528	0.000678019071271969	0.00776733871632794	42	0.000678019071271969
ko01110	Biosynthesis of secondary metabolites	0.000679359071398944	3.21344638565638	0.000679359071398945	0.00776733871632794	455	0.000679359071398944
ko04214	Apoptosis - fly	0.000718465669514598	3.22477667275258	0.000718465669514598	0.00794947498850023	130	0.000718465669514599
ko05166	Human T-cell leukemia virus 1 infection	0.000814766701841283	3.17134770235549	0.000814766701841282	0.00850778955420434	223	0.000814766701841283
ko05160	Hepatitis C	0.000821747855315857	3.21044284247341	0.000821747855315859	0.00850778955420434	78	0.000821747855315857
ko05162	Measles	0.000843337740066904	3.18570104847767	0.000843337740066903	0.00850778955420434	107	0.000843337740066904
ko00140	Steroid hormone biosynthesis	0.00101078865576137	3.15468763448061	0.00101078865576137	0.00990572882646146	76	0.00101078865576137
ko05168	Herpes simplex virus 1 infection	0.00126019005596831	3.05088141462155	0.00126019005596831	0.0120068108110314	142	0.00126019005596831
ko00280	Valine, leucine and isoleucine degradation	0.0013500973745364	3.05571084449938	0.0013500973745364	0.0125157675531348	73	0.0013500973745364
ko04217	Necroptosis	0.00153852302061435	2.98428782754514	0.00153852302061436	0.0138871946334401	167	0.00153852302061435
ko04623	Cytosolic DNA-sensing pathway	0.00171629536804202	3.02117998401396	0.00171629536804202	0.0143340565832597	44	0.00171629536804202
ko04141	Protein processing in endoplasmic reticulum	0.00172064407378914	2.94684790676937	0.00172064407378914	0.0143340565832597	174	0.00172064407378914
ko00480	Glutathione metabolism	0.00173531520725283	2.96437312959146	0.00173531520725284	0.0143340565832597	88	0.00173531520725283
ko05140	Leishmaniasis	0.00175519060203179	3.02285347356429	0.00175519060203179	0.0143340565832597	42	0.00175519060203179
ko01130	""	0.00196590155818977	2.89625766321791	0.00196590155818978	0.0156814938246301	282	0.00196590155818977
ko00040	Pentose and glucuronate interconversions	0.00202792989176363	3.02018524934232	0.00202792989176363	0.015808635292612	26	0.00202792989176363
