gene	Control-1A	Control-1B	Control-1C	Control-2A	Control-2B	Control-2C	cApUp-1A	cApUp-1B	cApUp-1C	cApUp-2A	cApUp-2B	cApUp-2C	cGAMP-1A	cGAMP-1B	cGAMP-1C	cGAMP-2A	cGAMP-2B	cGAMP-2C
Spis_Spis10006_1	2	1	11	5	1	2	1	0	1	6	1	2	3	1	5	3	0	1
Spis_Spis10012_1	13	6	6	18	11	18	25	34	9	2	7	11	4	4	3	18	16	1
Spis_Spis10030_1	170	445	693	293	295	310	216	285	478	139	396	189	250	164	313	150	186	316
Spis_Spis10031_1	25	106	167	83	56	53	47	49	140	7	115	32	46	42	45	8	15	121
Spis_Spis10033_1	453	443	790	502	548	450	326	426	272	145	251	329	158	159	145	200	240	247
Spis_Spis10039_1	13	2	2	6	10	8	3	2	8	6	2	8	4	1	4	1	5	10
Spis_Spis10051_1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1
Spis_Spis10066_1	1	1	3	3	1	3	3	13	4	0	1	0	0	1	2	0	0	0
Spis_Spis10075_1	1	0	2	5	2	4	7	5	5	6	5	3	2	1	4	2	0	3
Spis_Spis10076_1	5	4	6	9	3	7	7	7	0	0	3	4	0	1	2	1	4	4
Spis_Spis10078_1	1	3	6	1	1	1	2	0	3	0	2	1	1	1	1	1	0	1
Spis_Spis10079_1	0	11	12	5	3	5	4	9	3	2	3	0	1	4	2	0	8	1
Spis_Spis10085_1	31	74	78	83	91	102	128	132	91	32	62	81	54	58	49	57	55	55
Spis_Spis10086_1	16	8	7	2	8	5	2	4	4	5	3	6	3	0	2	6	7	8
Spis_Spis10089_1	2	1	4	5	1	3	4	4	2	0	3	5	0	1	0	1	1	0
Spis_Spis10110_1	1	0	2	3	3	0	0	5	3	0	0	0	0	0	1	3	0	1
Spis_Spis10114_1	1	3	2	0	1	1	2	1	1	0	3	2	1	0	0	0	0	1
Spis_Spis10164_1	0	3	0	1	0	0	0	0	1	3	5	3	0	4	10	0	1	13
Spis_Spis10165_1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0
Spis_Spis10167_1	48	50	47	42	55	51	60	75	59	8	43	4	16	30	19	82	36	35
Spis_Spis10168_1	111	541	741	286	339	410	443	568	358	85	466	93	110	204	155	210	196	202
Spis_Spis10169_1	5	14	16	7	6	3	8	4	14	6	4	2	9	1	4	2	0	5
Spis_Spis10178_1	3	4	15	4	6	5	5	3	5	1	0	1	0	0	0	1	0	1
Spis_Spis10187_1	2	3	3	2	0	0	0	0	0	1	1	1	0	0	0	0	0	2
Spis_Spis10188_1	3	4	5	8	4	3	7	3	2	2	2	1	0	0	0	0	1	1
Spis_Spis10189_1	485	429	707	482	406	441	221	317	306	238	348	304	222	231	278	368	364	372
Spis_Spis10190_1	69	86	101	85	71	79	29	66	65	34	49	58	15	32	26	37	52	27
Spis_Spis10191_1	1	0	3	2	0	1	1	1	6	1	1	0	4	0	0	2	0	4
Spis_Spis10201_1	54	49	57	76	49	63	39	46	33	38	42	39	14	39	22	32	30	17
Spis_Spis10203_1	2134	929	826	1700	1074	853	994	1413	727	1113	850	949	498	642	511	1520	1008	1326
Spis_Spis10210_1	0	0	0	4	4	5	6	4	2	0	1	5	6	0	0	7	0	0
Spis_Spis10211_1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Spis_Spis10212_1	3	0	0	2	0	0	0	0	3	0	0	3	0	0	0	0	0	0
Spis_Spis10213_1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Spis_Spis10228_1	53	156	191	128	113	91	95	103	93	73	81	42	24	71	66	77	38	66
Spis_Spis10249_1	5	17	31	7	3	4	10	4	6	3	7	5	3	0	1	1	2	7
Spis_Spis10262_1	0	0	1	0	0	0	0	0	2	0	0	0	2	1	0	2	0	0
Spis_Spis10291_1	28	138	207	66	87	91	70	140	92	48	117	85	33	73	62	36	79	68
Spis_Spis10293_1	4	2	1	4	0	1	0	3	0	1	2	0	1	5	1	4	1	1
Spis_Spis10294_1	1	2	3	4	2	1	1	0	0	0	0	0	0	0	1	0	0	0
Spis_Spis10295_1	0	2	0	3	3	4	3	0	1	0	0	1	0	0	0	4	2	1
Spis_Spis10296_1	8	43	36	22	14	14	44	58	31	15	32	16	26	19	28	21	18	15
Spis_Spis10297_1	1	0	2	4	2	0	4	3	0	0	2	0	4	3	6	1	2	1
Spis_Spis10298_1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0
Spis_Spis10302_1	5	2	0	0	0	0	2	2	4	3	4	1	0	1	0	2	1	1
Spis_Spis10304_1	4	0	1	0	2	0	1	0	1	0	1	0	0	0	1	2	2	2
Spis_Spis10306_1	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
Spis_Spis10307_1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1
Spis_Spis10308_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spis_Spis10309_1	2	2	2	0	0	1	1	1	0	1	0	0	2	0	0	2	0	0
Spis_Spis10310_1	0	1	0	1	1	6	0	1	0	0	0	0	0	0	0	1	0	0
Spis_Spis10311_1	2	0	2	2	0	0	2	4	0	0	2	0	0	1	1	1	1	1
Spis_Spis10313_1	0	1	0	5	0	0	1	0	0	2	2	0	3	0	0	0	0	1
Spis_Spis10314_1	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	2	0	0
Spis_Spis10315_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spis_Spis10316_1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	2	0	0	1
Spis_Spis10317_1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Spis_Spis10319_1	13	0	1	61	40	34	50	52	0	0	0	18	2	0	0	20	20	0
Spis_Spis1031_1	1	3	2	3	0	1	2	0	1	2	8	2	0	1	0	0	0	1
Spis_Spis10320_1	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0
Spis_Spis10321_1	0	1	2	0	1	3	1	2	2	8	2	1	1	2	2	0	0	3
Spis_Spis10329_1	2	10	10	9	13	8	6	7	5	4	4	2	2	1	2	3	8	3
Spis_Spis10330_1	0	1	1	1	0	2	0	0	1	0	0	0	0	0	0	2	0	0
Spis_Spis10334_1	2	1	2	3	1	1	0	3	0	5	1	1	0	0	0	2	0	1
Spis_Spis10379_1	0	0	2	0	1	2	2	3	3	5	0	0	0	0	3	1	1	1
Spis_Spis10386_1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Spis_Spis10401_1	0	1	1	0	0	0	0	2	0	0	1	0	0	0	1	0	0	3
Spis_Spis10413_1	0	7	5	2	3	3	4	8	8	1	6	0	2	4	2	2	4	0
Spis_Spis1042_1	98	80	117	127	108	133	201	224	101	58	121	160	107	101	70	162	91	64
Spis_Spis1043_1	46	154	209	139	120	135	204	301	192	95	174	26	44	149	109	207	99	119
Spis_Spis1044_1	0	1	0	1	0	1	2	0	2	19	2	2	1	0	6	0	4	8
Spis_Spis10451_1	22	19	7	7	11	4	13	13	4	8	7	13	3	7	2	11	3	8
Spis_Spis10458_1	134	626	787	372	420	510	401	434	353	84	306	195	129	250	234	200	238	154
Spis_Spis1045_1	2	0	2	4	1	2	1	2	3	2	2	0	0	3	1	0	4	1
Spis_Spis10465_1	157	123	189	162	126	246	185	172	111	61	114	134	46	72	68	115	203	92
Spis_Spis10466_1	4	0	0	2	0	0	0	0	2	1	2	0	1	0	0	2	0	1
Spis_Spis10469_1	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1
Spis_Spis10470_1	13	101	120	31	50	51	35	28	32	10	30	4	10	8	6	3	15	6
Spis_Spis10471_1	4	0	3	2	1	2	4	3	0	1	11	0	2	0	4	0	0	0
Spis_Spis10473_1	1	1	7	0	2	1	2	2	2	1	0	1	2	0	0	1	1	0
Spis_Spis10484_1	4	3	6	5	5	0	0	5	16	2	8	1	0	2	1	6	3	1
Spis_Spis10486_1	8	11	18	14	13	14	15	10	5	9	5	11	7	8	7	14	3	5
Spis_Spis10487_1	0	0	3	0	0	0	2	0	2	1	2	0	2	0	1	1	2	1
Spis_Spis10492_1	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	1	1
Spis_Spis10493_1	28	9	14	48	39	61	57	69	6	2	13	18	8	11	11	18	45	4
Spis_Spis10494_1	3	2	10	8	6	12	1	18	4	4	12	26	7	15	7	4	11	15
Spis_Spis10501_1	2	20	21	8	5	10	11	11	8	2	5	16	18	13	11	6	10	13
Spis_Spis10512_1	0	1	4	0	0	0	9	2	1	5	4	5	2	3	0	3	3	0
Spis_Spis10513_1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0
Spis_Spis10519_1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Spis_Spis10520_1	0	0	0	1	0	1	0	2	0	1	1	2	2	0	0	0	0	0
Spis_Spis10522_1	3	20	10	25	13	14	16	23	9	1	6	10	1	7	2	9	13	0
Spis_Spis10527_1	0	1	0	1	0	0	0	0	2	0	0	0	2	0	1	0	0	2
Spis_Spis10529_1	1	1	3	2	0	1	2	3	0	0	3	3	0	3	0	1	2	1
Spis_Spis10530_1	15	8	10	3	11	4	8	5	7	0	1	9	2	1	4	7	4	2
Spis_Spis10545_1	0	0	0	1	1	1	1	1	0	1	2	0	0	0	0	1	0	0
Spis_Spis10546_1	4	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
Spis_Spis10547_1	0	103	120	0	0	2	0	0	101	6	91	1	43	53	30	0	1	25
Spis_Spis10548_1	0	1	3	0	0	0	0	0	0	0	1	0	0	6	1	1	0	6
Spis_Spis10589_1	0	2	0	3	2	0	0	2	2	0	2	0	0	0	0	0	0	1
Spis_Spis10593_1	3	12	19	20	4	4	33	52	18	13	13	4	2	21	7	35	6	17
Spis_Spis10619_1	8	6	11	3	4	4	7	9	4	2	7	6	0	2	4	6	7	0
Spis_Spis10625_1	87	7	14	45	46	57	81	143	47	44	30	83	14	35	27	129	82	41
Spis_Spis10627_1	4	20	17	8	6	5	19	9	6	6	9	1	9	3	14	15	4	6
Spis_Spis10628_1	36	43	26	39	45	30	46	75	39	19	62	31	16	37	18	52	31	42
Spis_Spis10634_1	2	4	6	2	0	1	1	3	5	2	0	4	1	4	5	0	2	3
Spis_Spis10637_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
