group	GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
capup	GO:0005043	netrin receptor activity involved in che...	8	7	0.26	2.8e-10	1.01472e-06	MF
capup	GO:0005042	netrin receptor activity	12	7	0.39	2.4e-08	4.3488e-05	MF
capup	GO:0061507	2',3'-cyclic GMP-AMP binding	9	6	0.29	8.6e-08	0.000103888	MF
capup	GO:0003950	NAD+ ADP-ribosyltransferase activity	29	9	0.94	2e-07	0.0001812	MF
capup	GO:0035438	cyclic-di-GMP binding	11	6	0.36	4.5e-07	0.00032012	MF
capup	GO:0070403	NAD+ binding	24	8	0.78	5.3e-07	0.00032012	MF
capup	GO:0005790	smooth endoplasmic reticulum	35	9	1.04	5.8e-07	0.00105734	CC
capup	GO:0002831	regulation of response to biotic stimulu...	391	46	11.9	1.2e-15	1.77624e-11	BP
capup	GO:0045088	regulation of innate immune response	311	39	9.47	2.8e-14	2.07228e-10	BP
capup	GO:0031347	regulation of defense response	482	48	14.67	1.8e-13	8.8812e-10	BP
capup	GO:0098542	defense response to other organism	677	58	20.61	2.8e-13	1.03614e-09	BP
capup	GO:0002218	activation of innate immune response	119	23	3.62	8.8e-13	2.605152e-09	BP
capup	GO:0006952	defense response	915	67	27.86	4.7e-12	1.15949e-08	BP
capup	GO:0050776	regulation of immune response	521	47	15.86	1.2e-11	2.53748571428571e-08	BP
capup	GO:0032101	regulation of response to external stimu...	814	61	24.78	2e-11	3.7005e-08	BP
capup	GO:0045087	innate immune response	484	44	14.73	4.6e-11	7.56546666666667e-08	BP
capup	GO:0002697	regulation of immune effector process	244	30	7.43	5.4e-11	7.99308e-08	BP
capup	GO:0045089	positive regulation of innate immune res...	223	28	6.79	1.5e-10	2.01845454545455e-07	BP
capup	GO:0080134	regulation of response to stress	1043	69	31.75	2.2e-10	2.7137e-07	BP
capup	GO:0010468	regulation of gene expression	2705	132	82.35	2.8e-10	2.86172e-07	BP
capup	GO:0031349	positive regulation of defense response	277	31	8.43	2.8e-10	2.86172e-07	BP
capup	GO:0031325	positive regulation of cellular metaboli...	2144	112	65.27	2.9e-10	2.86172e-07	BP
capup	GO:0002833	positive regulation of response to bioti...	246	29	7.49	3.2e-10	2.9604e-07	BP
capup	GO:0009607	response to biotic stimulus	945	64	28.77	4.5e-10	3.91817647058824e-07	BP
capup	GO:0002682	regulation of immune system process	849	59	25.85	9.5e-10	7.81216666666667e-07	BP
capup	GO:0044419	biological process involved in interspec...	1108	70	33.73	1.2e-09	8.74663636363637e-07	BP
capup	GO:0043207	response to external biotic stimulus	923	62	28.1	1.3e-09	8.74663636363637e-07	BP
capup	GO:0051707	response to other organism	923	62	28.1	1.3e-09	8.74663636363637e-07	BP
capup	GO:0009893	positive regulation of metabolic process	2420	120	73.67	1.3e-09	8.74663636363637e-07	BP
capup	GO:0010604	positive regulation of macromolecule met...	2281	114	69.44	3e-09	1.93069565217391e-06	BP
capup	GO:0043331	response to dsRNA	73	15	2.22	3.7e-09	2.281975e-06	BP
