group	GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
up	GO:0005043	netrin receptor activity involved in che...	8	7	0.25	1.9e-10	6.8856e-07	MF
up	GO:0005042	netrin receptor activity	12	7	0.37	1.7e-08	3.0804e-05	MF
up	GO:0061507	2',3'-cyclic GMP-AMP binding	9	6	0.28	6.3e-08	7.6104e-05	MF
up	GO:0003950	NAD+ ADP-ribosyltransferase activity	29	9	0.89	1.3e-07	0.00011778	MF
up	GO:0035438	cyclic-di-GMP binding	11	6	0.34	3.3e-07	0.0002114	MF
up	GO:0070403	NAD+ binding	24	8	0.74	3.5e-07	0.0002114	MF
up	GO:0030551	cyclic nucleotide binding	28	7	0.86	1.7e-05	0.00880114285714286	MF
up	GO:0019787	ubiquitin-like protein transferase activ...	344	26	10.61	2e-05	0.00906	MF
up	GO:0005790	smooth endoplasmic reticulum	35	9	0.98	3.5e-07	0.00063805	CC
up	GO:0002831	regulation of response to biotic stimulu...	391	46	11.26	1.4e-16	2.07228e-12	BP
up	GO:0045088	regulation of innate immune response	311	39	8.96	4.3e-15	3.18243e-11	BP
up	GO:0031347	regulation of defense response	482	48	13.88	2.1e-14	1.03614e-10	BP
up	GO:0098542	defense response to other organism	677	57	19.5	8.2e-14	3.03441e-10	BP
up	GO:0002218	activation of innate immune response	119	23	3.43	2.7e-13	7.99308e-10	BP
up	GO:0006952	defense response	915	65	26.35	3e-12	7.401e-09	BP
up	GO:0010468	regulation of gene expression	2705	131	77.9	5.6e-12	1.0916475e-08	BP
up	GO:0050776	regulation of immune response	521	46	15	5.9e-12	1.0916475e-08	BP
up	GO:0045087	innate immune response	484	44	13.94	6.9e-12	1.13482e-08	BP
up	GO:0031325	positive regulation of cellular metaboli...	2144	111	61.74	1.2e-11	1.77624e-08	BP
up	GO:0032101	regulation of response to external stimu...	814	59	23.44	1.7e-11	2.28758181818182e-08	BP
up	GO:0045089	positive regulation of innate immune res...	223	28	6.42	4e-11	4.934e-08	BP
up	GO:0002697	regulation of immune effector process	244	29	7.03	6.9e-11	7.29527142857143e-08	BP
up	GO:0031349	positive regulation of defense response	277	31	7.98	6.9e-11	7.29527142857143e-08	BP
up	GO:0002833	positive regulation of response to bioti...	246	29	7.08	8.4e-11	8.28912e-08	BP
up	GO:0009893	positive regulation of metabolic process	2420	118	69.69	1.1e-10	1.0176375e-07	BP
up	GO:0080134	regulation of response to stress	1043	67	30.04	1.2e-10	1.04484705882353e-07	BP
up	GO:0060255	regulation of macromolecule metabolic pr...	3576	154	102.98	2.4e-10	1.9736e-07	BP
up	GO:0051173	positive regulation of nitrogen compound...	2045	104	58.89	2.6e-10	2.02553684210526e-07	BP
up	GO:0002682	regulation of immune system process	849	58	24.45	2.8e-10	2.035275e-07	BP
up	GO:0010604	positive regulation of macromolecule met...	2281	112	65.69	3e-10	2.035275e-07	BP
up	GO:0009607	response to biotic stimulus	945	62	27.21	3.1e-10	2.035275e-07	BP
up	GO:0043207	response to external biotic stimulus	923	61	26.58	3.3e-10	2.035275e-07	BP
up	GO:0051707	response to other organism	923	61	26.58	3.3e-10	2.035275e-07	BP
up	GO:0019222	regulation of metabolic process	3937	164	113.38	4.7e-10	2.782776e-07	BP
up	GO:0031323	regulation of cellular metabolic process	3520	150	101.37	1.4e-09	7.97030769230769e-07	BP
up	GO:0044419	biological process involved in interspec...	1108	67	31.91	1.6e-09	8.77155555555556e-07	BP
up	GO:0043331	response to dsRNA	73	15	2.1	1.7e-09	8.98692857142857e-07	BP
up	GO:0070212	protein poly-ADP-ribosylation	22	9	0.63	4.3e-09	2.14867741935484e-06	BP
up	GO:0048518	positive regulation of biological proces...	3837	158	110.5	4.4e-09	2.14867741935484e-06	BP
up	GO:0051090	regulation of DNA-binding transcription ...	291	29	8.38	4.5e-09	2.14867741935484e-06	BP
up	GO:0019221	cytokine-mediated signaling pathway	292	29	8.41	4.9e-09	2.26655625e-06	BP
up	GO:0032103	positive regulation of response to exter...	428	36	12.33	5.7e-09	2.55670909090909e-06	BP
up	GO:0071359	cellular response to dsRNA	68	14	1.96	6e-09	2.61211764705882e-06	BP
up	GO:0001819	positive regulation of cytokine producti...	177	22	5.1	6.6e-09	2.75481666666667e-06	BP
up	GO:0060759	regulation of response to cytokine stimu...	105	17	3.02	6.7e-09	2.75481666666667e-06	BP
up	GO:0002253	activation of immune response	261	27	7.52	7.2e-09	2.88038918918919e-06	BP
up	GO:0051171	regulation of nitrogen compound metaboli...	3290	140	94.74	1.1e-08	4.28478947368421e-06	BP
up	GO:0050691	regulation of defense response to virus ...	41	11	1.18	1.4e-08	5.1807e-06	BP
up	GO:0050778	positive regulation of immune response	382	33	11	1.4e-08	5.1807e-06	BP
up	GO:1902216	positive regulation of interleukin-4-med...	18	8	0.52	1.5e-08	5.41536585365854e-06	BP
up	GO:0080090	regulation of primary metabolic process	3402	143	97.97	1.6e-08	5.63885714285714e-06	BP
