TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	PC_0	PC_1	Representative
"GO:0003950"	"NAD+ ADP-ribosyltransferase activity"	-2.516532524933343	4.308201460651076	0.05559508838229996	0.8176711524493804	-0	5.5538707646549526	1.0650448268936468	null
"GO:0004842"	"ubiquitin-protein transferase activity"	-1.6083028982889882	5.312771670607999	0.5618571100135252	0.8451043693756176	0.38138489	4.665315317727069	-3.164907151018259	null
"GO:0005043"	"netrin receptor activity involved in chemorepulsion"	-4.896743766644949	1.6532125137753437	0.00012031201499218957	0.8480872773608197	0	0.3671887893356009	6.527285956767368	null
"GO:0005042"	"netrin receptor activity"	-3.2647205519395435	3.5272431163880884	0.0092038691469025	0.8480872773608197	0.79083458	null	null	5043
"GO:0016763"	"pentosyltransferase activity"	-1.3360764601328161	5.299197756319404	0.5445677265863522	0.8024314817095048	0.57298002	5.523488634934499	0.022653904792704762	null
"GO:0019787"	"ubiquitin-like protein transferase activity"	-1.887969843775505	5.339747495422129	0.597863214863915	0.84467229642943	0.19272362	5.884674139608999	-2.9446850282475876	null
"GO:0031625"	"ubiquitin protein ligase binding"	-1.6083028982889882	4.492439087788779	0.08497309495221098	0.8446720655488241	0.02547495	-4.546474922838679	2.9589146079633983	null
"GO:0044389"	"ubiquitin-like protein ligase binding"	-1.6196259283863792	4.507032359632107	0.0878769894958861	0.8446328521400213	0.71344053	null	null	31625
"GO:0061507"	"2',3'-cyclic GMP-AMP binding"	-3.0487013459839107	2.187520720836463	0.00041835768849556824	0.819914686932741	-0	-2.4614774906883814	-6.28845176866763	null
"GO:0035438"	"cyclic-di-GMP binding"	-2.516532524933343	4.192316504702737	0.04257404712337254	0.8103086358262818	0.72315752	null	null	61507
"GO:0070403"	"NAD+ binding"	-2.3158730743869245	4.826826065375873	0.1835168383227455	0.9113790924133636	0.17093444	-4.434970177635601	-3.48589034432649	null
