GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0005043	netrin receptor activity involved in che...	8	7	0.35	2.3e-09	8.3352e-06	MF
GO:0061507	2',3'-cyclic GMP-AMP binding	9	7	0.39	9.8e-09	1.77576e-05	MF
GO:0035438	cyclic-di-GMP binding	11	7	0.48	8.4e-08	0.000101472	MF
GO:0005042	netrin receptor activity	12	7	0.53	1.9e-07	0.000159456	MF
GO:0044389	ubiquitin-like protein ligase binding	283	33	12.41	2.2e-07	0.000159456	MF
GO:0003950	NAD+ ADP-ribosyltransferase activity	29	9	1.27	2.5e-06	0.00134605714285714	MF
GO:0031625	ubiquitin protein ligase binding	272	30	11.93	2.6e-06	0.00134605714285714	MF
GO:0070403	NAD+ binding	24	8	1.05	5e-06	0.002265	MF
GO:0061578	Lys63-specific deubiquitinase activity	18	7	0.79	6.2e-06	0.00242808	MF
GO:0019787	ubiquitin-like protein transferase activ...	344	34	15.08	6.7e-06	0.00242808	MF
GO:0004842	ubiquitin-protein transferase activity	331	32	14.51	2e-05	0.00585415384615385	MF
GO:0001968	fibronectin binding	65	12	2.85	2.1e-05	0.00585415384615385	MF
GO:0097367	carbohydrate derivative binding	696	54	30.52	2.1e-05	0.00585415384615385	MF
GO:0005515	protein binding	4475	233	196.22	5.1e-05	0.0132017142857143	MF
GO:0045545	syndecan binding	62	11	2.72	6.7e-05	0.0160218947368421	MF
GO:0061501	2',3'-cyclic GMP-AMP synthase activity	18	6	0.79	8.1e-05	0.0160218947368421	MF
GO:0140699	cyclic GMP-AMP synthase activity	18	6	0.79	8.1e-05	0.0160218947368421	MF
GO:0051287	NAD binding	43	9	1.89	8.1e-05	0.0160218947368421	MF
GO:0016763	pentosyltransferase activity	53	10	2.32	8.4e-05	0.0160218947368421	MF
GO:0061815	Met1-linked polyubiquitin deubiquitinase...	7	4	0.31	0.00011	0.019932	MF
GO:0030551	cyclic nucleotide binding	28	7	1.23	0.00016	0.0276114285714286	MF
GO:0043394	proteoglycan binding	83	12	3.64	0.00024	0.0395345454545455	MF
GO:0019899	enzyme binding	1617	98	70.9	0.00027	0.0425426086956522	MF
GO:0140096	catalytic activity, acting on a protein	1577	95	69.15	0.00043	0.06493	MF
GO:0004715	non-membrane spanning protein tyrosine k...	24	6	1.05	0.00047	0.0681312	MF
GO:0004843	cysteine-type deubiquitinase activity	54	9	2.37	5e-04	0.0696923076923077	MF
GO:0008233	peptidase activity	378	31	16.57	0.00054	0.07248	MF
GO:0005164	tumor necrosis factor receptor binding	34	7	1.49	0.00057	0.0737742857142857	MF
GO:0003727	single-stranded RNA binding	72	10	3.16	0.0011	0.129762580645161	MF
GO:1990380	Lys48-specific deubiquitinase activity	19	5	0.83	0.0011	0.129762580645161	MF
GO:0008234	cysteine-type peptidase activity	125	14	5.48	0.00111	0.129762580645161	MF
GO:0005102	signaling receptor binding	893	58	39.16	0.00129	0.1460925	MF
GO:0019900	kinase binding	541	39	23.72	0.00137	0.147898378378378	MF
