group	GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
cgamp	GO:0005043	netrin receptor activity involved in che...	8	7	0.35	2.3e-09	8.3352e-06	MF
cgamp	GO:0061507	2',3'-cyclic GMP-AMP binding	9	7	0.39	9.8e-09	1.77576e-05	MF
cgamp	GO:0035438	cyclic-di-GMP binding	11	7	0.48	8.4e-08	0.000101472	MF
cgamp	GO:0005042	netrin receptor activity	12	7	0.53	1.9e-07	0.000159456	MF
cgamp	GO:0044389	ubiquitin-like protein ligase binding	283	33	12.41	2.2e-07	0.000159456	MF
cgamp	GO:0003950	NAD+ ADP-ribosyltransferase activity	29	9	1.27	2.5e-06	0.00134605714285714	MF
cgamp	GO:0031625	ubiquitin protein ligase binding	272	30	11.93	2.6e-06	0.00134605714285714	MF
cgamp	GO:0070403	NAD+ binding	24	8	1.05	5e-06	0.002265	MF
cgamp	GO:0061578	Lys63-specific deubiquitinase activity	18	7	0.79	6.2e-06	0.00242808	MF
cgamp	GO:0019787	ubiquitin-like protein transferase activ...	344	34	15.08	6.7e-06	0.00242808	MF
cgamp	GO:0004842	ubiquitin-protein transferase activity	331	32	14.51	2e-05	0.00585415384615385	MF
cgamp	GO:0001968	fibronectin binding	65	12	2.85	2.1e-05	0.00585415384615385	MF
cgamp	GO:0097367	carbohydrate derivative binding	696	54	30.52	2.1e-05	0.00585415384615385	MF
cgamp	GO:0005515	protein binding	4475	233	196.22	5.1e-05	0.0132017142857143	MF
cgamp	GO:0045545	syndecan binding	62	11	2.72	6.7e-05	0.0160218947368421	MF
cgamp	GO:0061501	2',3'-cyclic GMP-AMP synthase activity	18	6	0.79	8.1e-05	0.0160218947368421	MF
cgamp	GO:0140699	cyclic GMP-AMP synthase activity	18	6	0.79	8.1e-05	0.0160218947368421	MF
cgamp	GO:0051287	NAD binding	43	9	1.89	8.1e-05	0.0160218947368421	MF
cgamp	GO:0016763	pentosyltransferase activity	53	10	2.32	8.4e-05	0.0160218947368421	MF
cgamp	GO:0061815	Met1-linked polyubiquitin deubiquitinase...	7	4	0.31	0.00011	0.019932	MF
cgamp	GO:0030551	cyclic nucleotide binding	28	7	1.23	0.00016	0.0276114285714286	MF
cgamp	GO:0043394	proteoglycan binding	83	12	3.64	0.00024	0.0395345454545455	MF
cgamp	GO:0019899	enzyme binding	1617	98	70.9	0.00027	0.0425426086956522	MF
cgamp	GO:0009898	cytoplasmic side of plasma membrane	152	21	6.27	1e-06	0.001823	CC
cgamp	GO:0035631	CD40 receptor complex	27	8	1.11	8.7e-06	0.00607666666666667	CC
cgamp	GO:0098562	cytoplasmic side of membrane	175	21	7.22	1e-05	0.00607666666666667	CC
cgamp	GO:0005614	interstitial matrix	56	11	2.31	1.4e-05	0.0063805	CC
cgamp	GO:0019898	extrinsic component of membrane	251	25	10.35	3.9e-05	0.0142194	CC
cgamp	GO:0098552	side of membrane	368	32	15.18	5e-05	0.0151916666666667	CC
cgamp	GO:0033256	I-kappaB/NF-kappaB complex	3	3	0.12	7e-05	0.01823	CC
cgamp	GO:0031234	extrinsic component of cytoplasmic side ...	68	11	2.8	9.4e-05	0.02142025	CC
cgamp	GO:0031347	regulation of defense response	482	71	20.72	9.5e-21	1.40619e-16	BP
cgamp	GO:0002831	regulation of response to biotic stimulu...	391	62	16.81	8.4e-20	6.21684e-16	BP
cgamp	GO:0002218	activation of innate immune response	119	34	5.12	2.2e-19	1.08548e-15	BP
cgamp	GO:0045088	regulation of innate immune response	311	52	13.37	1e-17	3.7005e-14	BP
cgamp	GO:0006952	defense response	915	93	39.34	7.6e-16	2.249904e-12	BP
cgamp	GO:0032101	regulation of response to external stimu...	814	86	34.99	1.2e-15	2.9604e-12	BP
cgamp	GO:0098542	defense response to other organism	677	76	29.1	3e-15	6.34371428571429e-12	BP
cgamp	GO:0050776	regulation of immune response	521	64	22.4	9.7e-15	1.7947425e-11	BP
cgamp	GO:0031349	positive regulation of defense response	277	44	11.91	2.7e-14	4.4406e-11	BP
cgamp	GO:0045087	innate immune response	484	60	20.81	4.9e-14	6.59361818181818e-11	BP
cgamp	GO:0080134	regulation of response to stress	1043	97	44.84	4.9e-14	6.59361818181818e-11	BP
cgamp	GO:0033209	tumor necrosis factor-mediated signaling...	46	18	1.98	1.6e-13	1.9736e-10	BP
cgamp	GO:0002758	innate immune response-activating signal...	91	24	3.91	3.5e-13	3.80622857142857e-10	BP
cgamp	GO:0002682	regulation of immune system process	849	83	36.5	3.6e-13	3.80622857142857e-10	BP
cgamp	GO:0043207	response to external biotic stimulus	923	87	39.68	6.7e-13	6.1983375e-10	BP
cgamp	GO:0051707	response to other organism	923	87	39.68	6.7e-13	6.1983375e-10	BP
cgamp	GO:0009607	response to biotic stimulus	945	87	40.63	2.5e-12	2.17676470588235e-09	BP
cgamp	GO:0002833	positive regulation of response to bioti...	246	38	10.58	4.2e-12	3.34992631578947e-09	BP
cgamp	GO:0045089	positive regulation of innate immune res...	223	36	9.59	4.3e-12	3.34992631578947e-09	BP
cgamp	GO:0001817	regulation of cytokine production	322	44	13.84	5.9e-12	4.36659e-09	BP
cgamp	GO:0002253	activation of immune response	261	39	11.22	6.3e-12	4.4406e-09	BP
cgamp	GO:0071356	cellular response to tumor necrosis fact...	86	22	3.7	6.7e-12	4.50788181818182e-09	BP
cgamp	GO:0002697	regulation of immune effector process	244	37	10.49	1.4e-11	9.00991304347826e-09	BP
cgamp	GO:0001816	cytokine production	357	46	15.35	1.5e-11	9.25125e-09	BP
cgamp	GO:0032103	positive regulation of response to exter...	428	51	18.4	2.1e-11	1.243368e-08	BP
cgamp	GO:0071345	cellular response to cytokine stimulus	558	60	23.99	2.4e-11	1.36633846153846e-08	BP
cgamp	GO:0032479	regulation of type I interferon producti...	92	22	3.96	2.8e-11	1.4802e-08	BP
cgamp	GO:0032606	type I interferon production	92	22	3.96	2.8e-11	1.4802e-08	BP
cgamp	GO:0044419	biological process involved in interspec...	1108	94	47.63	3.1e-11	1.58228275862069e-08	BP
cgamp	GO:0002221	pattern recognition receptor signaling p...	141	27	6.06	4.1e-11	2.02294e-08	BP
cgamp	GO:0034097	response to cytokine	616	63	26.48	6.2e-11	2.9604e-08	BP
cgamp	GO:0034612	response to tumor necrosis factor	105	23	4.51	6.9e-11	3.09496363636364e-08	BP
cgamp	GO:0060759	regulation of response to cytokine stimu...	105	23	4.51	6.9e-11	3.09496363636364e-08	BP
cgamp	GO:0001959	regulation of cytokine-mediated signalin...	100	22	4.3	1.6e-10	6.96564705882353e-08	BP
cgamp	GO:0019221	cytokine-mediated signaling pathway	292	39	12.55	2.1e-10	8.8812e-08	BP
cgamp	GO:0002230	positive regulation of defense response ...	33	13	1.42	3.7e-10	1.52131666666667e-07	BP
cgamp	GO:0050691	regulation of defense response to virus ...	41	14	1.76	7.2e-10	2.84354210526316e-07	BP
cgamp	GO:0010468	regulation of gene expression	2705	173	116.29	7.3e-10	2.84354210526316e-07	BP
cgamp	GO:0010604	positive regulation of macromolecule met...	2281	152	98.06	8.9e-10	3.37789230769231e-07	BP
cgamp	GO:0050688	regulation of defense response to virus	90	20	3.87	9.4e-10	3.47847e-07	BP
cgamp	GO:0050778	positive regulation of immune response	382	44	16.42	1.7e-09	6.13741463414634e-07	BP
cgamp	GO:0001819	positive regulation of cytokine producti...	177	28	7.61	1.8e-09	6.34371428571429e-07	BP
cgamp	GO:0002224	toll-like receptor signaling pathway	113	22	4.86	2e-09	6.8846511627907e-07	BP
cgamp	GO:0060255	regulation of macromolecule metabolic pr...	3576	211	153.74	3.6e-09	1.21107272727273e-06	BP
cgamp	GO:0043331	response to dsRNA	73	17	3.14	8.1e-09	2.66436e-06	BP
cgamp	GO:0051090	regulation of DNA-binding transcription ...	291	36	12.51	8.6e-09	2.76733043478261e-06	BP
cgamp	GO:0009605	response to external stimulus	2122	140	91.23	1.3e-08	4.09417021276596e-06	BP
