group	GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
down	GO:0090482	vitamin transmembrane transporter activi...	35	7	0.37	5.9e-08	0.000213816	MF
down	GO:0005342	organic acid transmembrane transporter a...	88	7	0.93	3.6e-05	0.022952	MF
down	GO:0046943	carboxylic acid transmembrane transporte...	88	7	0.93	3.6e-05	0.022952	MF
down	GO:0008514	organic anion transmembrane transporter ...	121	8	1.27	3.7e-05	0.022952	MF
down	GO:0015347	sodium-independent organic anion transme...	7	3	0.07	3.8e-05	0.022952	MF
down	GO:0090416	nicotinate transmembrane transporter act...	7	3	0.07	3.8e-05	0.022952	MF
down	GO:0008028	monocarboxylic acid transmembrane transp...	42	5	0.44	7.2e-05	0.0372754285714286	MF
down	GO:0035461	vitamin transmembrane transport	46	7	0.53	8.7e-07	0.01287774	BP
down	GO:0051180	vitamin transport	76	8	0.88	2.5e-06	0.01517205	BP
down	GO:0006855	xenobiotic transmembrane transport	80	8	0.93	3.8e-06	0.01517205	BP
down	GO:0042908	xenobiotic transport	81	8	0.94	4.1e-06	0.01517205	BP
down	GO:0001101	response to acid chemical	289	14	3.36	6e-06	0.0177624	BP
down	GO:0072348	sulfur compound transport	44	6	0.51	1.1e-05	0.027137	BP
