group	kegg.id	kegg.lab	p.geomean	stat.mean	p.val	q.val	set.size	exp1
cApUp	ko04622	RIG-I-like receptor signaling pathway	9.21505047245825e-05	3.80825536810288	9.21505047245827e-05	0.0170444153530771	144	9.21505047245826e-05
cApUp	ko04623	Cytosolic DNA-sensing pathway	9.73966591604402e-05	3.93492689321308	9.73966591604405e-05	0.0170444153530771	57	9.73966591604402e-05
cApUp	ko04621	NOD-like receptor signaling pathway	0.000245306401787587	3.50501539230158	0.000245306401787586	0.0286190802085517	361	0.000245306401787587
cApUp	ko04658	Th1 and Th2 cell differentiation	0.000737634602129078	3.26777428218514	0.000737634602129078	0.0645430276862943	69	0.000737634602129078
cApUp	ko04064	NF-kappa B signaling pathway	0.002395059170768	2.84858453134709	0.00239505917076801	0.141828280689612	144	0.002395059170768
cApUp	ko04657	IL-17 signaling pathway	0.00257079717593474	2.82156338710561	0.00257079717593474	0.141828280689612	155	0.00257079717593474
cApUp	ko05167	Kaposi sarcoma-associated herpesvirus infection	0.00337624256692982	2.72779953225823	0.00337624256692982	0.141828280689612	168	0.00337624256692982
cApUp	ko04668	TNF signaling pathway	0.00356417527026816	2.71181714136207	0.00356417527026817	0.141828280689612	159	0.00356417527026816
cApUp	ko05321	Inflammatory bowel disease	0.00365632930226641	3.08278705395377	0.00365632930226642	0.141828280689612	14	0.00365632930226641
cApUp	ko05160	Hepatitis C	0.00405223659113179	2.67091188518035	0.00405223659113178	0.141828280689612	143	0.00405223659113179
cApUp	ko04380	Osteoclast differentiation	0.0069251070330767	2.47760517285391	0.00692510703307671	0.198247684057997	151	0.0069251070330767
cApUp	ko04620	Toll-like receptor signaling pathway	0.00726014887448752	2.46265858331638	0.00726014887448752	0.198247684057997	137	0.00726014887448752
cApUp	ko05168	Herpes simplex virus 1 infection	0.00736348540786845	2.45095082233832	0.00736348540786846	0.198247684057997	212	0.00736348540786845
cApUp	ko00590	Arachidonic acid metabolism	0.00828344836777664	2.42222752636276	0.00828344836777664	0.207086209194416	81	0.00828344836777664
cApUp	ko04920	Adipocytokine signaling pathway	0.00959398277125111	2.37888701089626	0.00959398277125113	0.22385959799586	67	0.00959398277125111
cApUp	ko04360	Axon guidance	0.0102951336627339	2.32608578688837	0.0102951336627339	0.225206048872304	193	0.0102951336627339
cApUp	ko05169	Epstein-Barr virus infection	0.0128963374432489	2.23717499099877	0.0128963374432489	0.256336889668942	246	0.0128963374432489
cApUp	ko04930	Type II diabetes mellitus	0.013183040040117	2.30710839222363	0.013183040040117	0.256336889668942	30	0.013183040040117
