group	GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology	label	go_id	gene_num
up	GO:0005043	netrin receptor activity involved in che...	8	6	0.13	4e-10	1.4496e-06	MF	GO:0005043 | netrin receptor activity involved in che...	GO:0005043	6
up	GO:0061507	2',3'-cyclic GMP-AMP binding	9	6	0.14	1.2e-09	2.1744e-06	MF	GO:0061507 | 2',3'-cyclic GMP-AMP binding	GO:0061507	6
up	GO:0070403	NAD+ binding	24	8	0.38	2e-09	2.416e-06	MF	GO:0070403 | NAD+ binding	GO:0070403	8
up	GO:0035438	cyclic-di-GMP binding	11	6	0.18	6.4e-09	5.7984e-06	MF	GO:0035438 | cyclic-di-GMP binding	GO:0035438	6
up	GO:0003950	NAD+ ADP-ribosyltransferase activity	29	8	0.46	1.1e-08	7.852e-06	MF	GO:0003950 | NAD+ ADP-ribosyltransferase activity	GO:0003950	8
up	GO:0005042	netrin receptor activity	12	6	0.19	1.3e-08	7.852e-06	MF	GO:0005042 | netrin receptor activity	GO:0005042	6
up	GO:0051287	NAD binding	43	8	0.69	3.1e-07	0.000160491428571429	MF	GO:0051287 | NAD binding	GO:0051287	8
up	GO:0016763	pentosyltransferase activity	53	8	0.85	1.7e-06	0.0007701	MF	GO:0016763 | pentosyltransferase activity	GO:0016763	8
up	GO:0030551	cyclic nucleotide binding	28	6	0.45	4.2e-06	0.0016912	MF	GO:0030551 | cyclic nucleotide binding	GO:0030551	6
up	GO:0004842	ubiquitin-protein transferase activity	331	18	5.28	4.7e-06	0.00170328	MF	GO:0004842 | ubiquitin-protein transferase activity	GO:0004842	18
up	GO:0061501	2',3'-cyclic GMP-AMP synthase activity	18	5	0.29	7e-06	0.002114	MF	GO:0061501 | 2',3'-cyclic GMP-AMP synthase activity	GO:0061501	5
up	GO:0140699	cyclic GMP-AMP synthase activity	18	5	0.29	7e-06	0.002114	MF	GO:0140699 | cyclic GMP-AMP synthase activity	GO:0140699	5
up	GO:0019787	ubiquitin-like protein transferase activ...	344	18	5.49	8.1e-06	0.00225803076923077	MF	GO:0019787 | ubiquitin-like protein transferase activ...	GO:0019787	18
up	GO:0044389	ubiquitin-like protein ligase binding	283	14	4.52	0.00016	0.0341082352941177	MF	GO:0044389 | ubiquitin-like protein ligase binding	GO:0044389	14
up	GO:0031625	ubiquitin protein ligase binding	272	13	4.34	0.00039	0.0642436363636364	MF	GO:0031625 | ubiquitin protein ligase binding	GO:0031625	13
