sample	name	treatment	biol_rep	tech_rep
Control-1A-2	Control-1A	control	1	A
Control-1B-2	Control-1B	control	1	B
Control-1C-1	Control-1C	control	1	C
Control-2A-2	Control-2A	control	2	A
Control-2B-2	Control-2B	control	2	B
Control-2C-2	Control-2C	control	2	C
cApUp-1A-1	cApUp-1A	cApUp	1	A
cApUp-1B-1	cApUp-1B	cApUp	1	B
cApUp-1C-2	cApUp-1C	cApUp	1	C
cApUp-2A-2	cApUp-2A	cApUp	2	A
cApUp-2B-2	cApUp-2B	cApUp	2	B
cApUp-2C-1	cApUp-2C	cApUp	2	C
cGAMP-1A-1	cGAMP-1A	cGAMP	1	A
cGAMP-1B-2	cGAMP-1B	cGAMP	1	B
cGAMP-1C-1	cGAMP-1C	cGAMP	1	C
cGAMP-2A-2	cGAMP-2A	cGAMP	2	A
cGAMP-2B-2	cGAMP-2B	cGAMP	2	B
cGAMP-2C-1	cGAMP-2C	cGAMP	2	C
