TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	PC_0	PC_1	Representative
"GO:0000738"	"DNA catabolic process, exonucleolytic"	-1.3821808116800853	2.82020145948564	0.002193916780681087	0.9393343297067576	0.47783601	3.121369155340133	3.941421442914059	null
"GO:0001816"	"cytokine production"	-2.960958502684657	2.9190780923760737	0.00275569244118882	0.9542069902655491	0.27399424	6.26505912359217	-1.2550647932719587	null
"GO:0001817"	"regulation of cytokine production"	-3.1225916773148423	4.504959932908608	0.1063218609546736	0.756563361740637	0.67635966	-5.780458730002616	-1.5240275124492753	null
"GO:0001959"	"regulation of cytokine-mediated signaling pathway"	-4.848163005820633	3.778585327862962	0.019961318587863524	0.6191585893415433	0.5633552	-4.730683876056115	-5.97952333816703	null
"GO:0001960"	"negative regulation of cytokine-mediated signaling pathway"	-1.6215321287631725	3.51560894923448	0.010893129227715032	0.5969433613259726	0.95851419	null	null	1959
"GO:0001961"	"positive regulation of cytokine-mediated signaling pathway"	-3.261988538044281	3.336059277866349	0.007203360096569568	0.5808367049883557	0.93656062	null	null	1959
"GO:0010803"	"regulation of tumor necrosis factor-mediated signaling pathway"	-3.1976564049813865	3.2362852774480286	0.0057241283277770175	0.6423012164295698	0.92478881	null	null	1959
"GO:0060330"	"regulation of response to type II interferon"	-2.454723495568813	2.681241237375587	0.0015922517241609706	0.5892283524527983	0.86431398	null	null	1959
"GO:0060331"	"negative regulation of response to type II interferon"	-3.0879575988657573	2.305351369446624	0.0006681473832074219	0.5778679590674812	0.92710985	null	null	1959
"GO:0060334"	"regulation of type II interferon-mediated signaling pathway"	-2.454723495568813	2.681241237375587	0.0015922517241609706	0.5817730697664566	0.96216907	null	null	1959
"GO:0060336"	"negative regulation of type II interferon-mediated signaling pathway"	-3.0879575988657573	2.305351369446624	0.0006681473832074219	0.5745321574921426	0.82758506	null	null	1959
"GO:0060760"	"positive regulation of response to cytokine stimulus"	-3.012301745012332	3.3861421089308186	0.008084250925176367	0.583470764044196	0.94258283	null	null	1959
"GO:0060761"	"negative regulation of response to cytokine stimulus"	-2.0680627884043696	3.530583859645118	0.01127540260616704	0.6012625204926141	0.96039162	null	null	1959
"GO:1902214"	"regulation of interleukin-4-mediated signaling pathway"	-3.2098908418382264	1.9084850188786497	0.00026592930674922263	0.6892920789181822	0.79188477	null	null	1959
"GO:1902216"	"positive regulation of interleukin-4-mediated signaling pathway"	-3.373747629806768	1.6720978579357175	0.00015290935138080302	0.6476180777841899	0.77188395	null	null	1959
