TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	PC_0	PC_1	Representative
"GO:0000003"	"reproduction"	-1.6949810252511555	5.310206714973391	0.6790172436207964	1	-0	0.9597671295599023	6.872996557142742	null
"GO:0001700"	"embryonic development via the syncytial blastoderm"	-3.458797807422758	3.0195316845312554	0.0034737015694117205	0.9242729527774503	0.64071379	4.574087244882904	-2.5729733164782567	null
"GO:0009792"	"embryo development ending in birth or egg hatching"	-2.0616286757843536	4.540904815317018	0.11549642203752175	0.907716586689724	0.70507775	null	null	1700
"GO:0001775"	"cell activation"	-1.4266361903676112	4.460190975748579	0.09590740447910714	0.9374412155453031	0.41800927	4.815724015911549	-2.006094386105783	null
"GO:0001816"	"cytokine production"	-6.683551564448383	2.9190780923760737	0.00275569244118882	0.9351664692135839	0.07912794	4.458317789880966	-1.8383127267734756	null
"GO:0001817"	"regulation of cytokine production"	-6.653588341070939	4.504959932908608	0.1063218609546736	0.7792491505773074	0.33615474	-7.0484206132695775	-1.4899003388609693	null
"GO:0001820"	"serotonin secretion"	-1.8461737770985063	2.1789769472931693	0.0004986174501547925	0.9266451380634928	0.32312017	1.7192485684949592	2.4547980941021863	null
"GO:0006837"	"serotonin transport"	-1.4556917220054049	2.9916690073799486	0.0032576340076779773	0.9678443183580298	0.86651311	null	null	1820
"GO:0001932"	"regulation of protein phosphorylation"	-3.59248315989162	4.859402517833138	0.24047654797698767	0.7354967442048904	0.65115859	-7.196782788276188	-0.5143639919848959	null
"GO:0001933"	"negative regulation of protein phosphorylation"	-2.3898676443475817	4.305695228911858	0.0671970116991942	0.7326351187693222	0.88545445	null	null	1932
"GO:0001934"	"positive regulation of protein phosphorylation"	-1.3480974680385907	4.511228084427306	0.10786757505015343	0.6632902661245069	0.91803518	null	null	1932
"GO:0010563"	"negative regulation of phosphorus metabolic process"	-1.3012329002709553	4.579200336220856	0.12614356665649376	0.7501973553598985	0.87517281	null	null	1932
