group	GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
capup	GO:0005043	netrin receptor activity involved in che...	8	7	0.42	8.7e-09	3.15288e-05	MF
capup	GO:0005042	netrin receptor activity	12	7	0.64	7.1e-07	0.00128652	MF
capup	GO:0061507	2',3'-cyclic GMP-AMP binding	9	6	0.48	1.6e-06	0.0019328	MF
capup	GO:0035438	cyclic-di-GMP binding	11	6	0.58	7.9e-06	0.0071574	MF
capup	GO:0003950	NAD+ ADP-ribosyltransferase activity	29	9	1.54	1.2e-05	0.0086976	MF
capup	GO:0070403	NAD+ binding	24	8	1.27	2e-05	0.01208	MF
capup	GO:0019787	ubiquitin-like protein transferase activ...	344	36	18.26	6.6e-05	0.03322	MF
capup	GO:0030554	adenyl nucleotide binding	333	35	17.67	7.6e-05	0.03322	MF
capup	GO:0044389	ubiquitin-like protein ligase binding	283	31	15.02	9.2e-05	0.03322	MF
capup	GO:0031625	ubiquitin protein ligase binding	272	30	14.43	1e-04	0.03322	MF
capup	GO:0004111	creatine kinase activity	6	4	0.32	0.00011	0.03322	MF
capup	GO:0032559	adenyl ribonucleotide binding	326	34	17.3	0.00011	0.03322	MF
capup	GO:0004842	ubiquitin-protein transferase activity	331	34	17.57	0.00015	0.0418153846153846	MF
capup	GO:0140096	catalytic activity, acting on a protein	1577	114	83.69	0.00017	0.0440057142857143	MF
capup	GO:0005790	smooth endoplasmic reticulum	35	11	1.77	6.8e-07	0.00123964	CC
capup	GO:0044232	organelle membrane contact site	18	7	0.91	1.6e-05	0.014584	CC
capup	GO:0002831	regulation of response to biotic stimulu...	391	61	19.95	1.8e-15	2.66436e-11	BP
capup	GO:0002218	activation of innate immune response	119	30	6.07	1.3e-13	9.6213e-10	BP
capup	GO:0045088	regulation of innate immune response	311	50	15.87	2.4e-13	9.6213e-10	BP
capup	GO:0031347	regulation of defense response	482	65	24.59	2.6e-13	9.6213e-10	BP
capup	GO:0098542	defense response to other organism	677	76	34.54	2.7e-11	5.9208e-08	BP
capup	GO:0050776	regulation of immune response	521	64	26.58	2.7e-11	5.9208e-08	BP
capup	GO:0032101	regulation of response to external stimu...	814	86	41.52	2.8e-11	5.9208e-08	BP
capup	GO:0006952	defense response	915	92	46.68	7.8e-11	1.443195e-07	BP
capup	GO:0080134	regulation of response to stress	1043	99	53.21	3.4e-10	5.59186666666667e-07	BP
capup	GO:0002697	regulation of immune effector process	244	38	12.45	5.3e-10	7.52435e-07	BP
capup	GO:0045089	positive regulation of innate immune res...	223	36	11.38	5.6e-10	7.52435e-07	BP
capup	GO:0002758	innate immune response-activating signal...	91	22	4.64	6.1e-10	7.52435e-07	BP
capup	GO:0002833	positive regulation of response to bioti...	246	38	12.55	6.8e-10	7.74258461538462e-07	BP
capup	GO:0044419	biological process involved in interspec...	1108	102	56.52	9.7e-10	1.02556714285714e-06	BP
capup	GO:0002682	regulation of immune system process	849	84	43.31	1.4e-09	1.38152e-06	BP
capup	GO:0031349	positive regulation of defense response	277	40	14.13	1.8e-09	1.65434117647059e-06	BP
capup	GO:0045087	innate immune response	484	57	24.69	1.9e-09	1.65434117647059e-06	BP
capup	GO:0009607	response to biotic stimulus	945	90	48.21	2.2e-09	1.80913333333333e-06	BP
capup	GO:0043207	response to external biotic stimulus	923	88	47.09	3.3e-09	2.44233e-06	BP
capup	GO:0051707	response to other organism	923	88	47.09	3.3e-09	2.44233e-06	BP
capup	GO:0065007	biological regulation	6797	401	346.74	9.6e-09	6.76662857142857e-06	BP
capup	GO:0060759	regulation of response to cytokine stimu...	105	22	5.36	1.1e-08	7.401e-06	BP
capup	GO:0043331	response to dsRNA	73	18	3.72	1.6e-08	1.02970434782609e-05	BP
capup	GO:0001959	regulation of cytokine-mediated signalin...	100	21	5.1	2.3e-08	1.418525e-05	BP
capup	GO:0071359	cellular response to dsRNA	68	17	3.47	3.3e-08	1.953864e-05	BP
capup	GO:0033209	tumor necrosis factor-mediated signaling...	46	14	2.35	3.6e-08	2.04950769230769e-05	BP
capup	GO:0002221	pattern recognition receptor signaling p...	141	25	7.19	3.8e-08	2.08324444444444e-05	BP
capup	GO:0002253	activation of immune response	261	36	13.31	4.1e-08	2.16743571428571e-05	BP
capup	GO:0002224	toll-like receptor signaling pathway	113	22	5.76	4.5e-08	2.29686206896552e-05	BP
capup	GO:0050789	regulation of biological process	6269	373	319.8	9.6e-08	4.73664e-05	BP
capup	GO:0050778	positive regulation of immune response	382	45	19.49	1.1e-07	5.25232258064516e-05	BP
capup	GO:0060255	regulation of macromolecule metabolic pr...	3576	237	182.42	1.7e-07	7.8635625e-05	BP
capup	GO:0019222	regulation of metabolic process	3937	254	200.84	4.8e-07	0.000215301818181818	BP
capup	GO:0050688	regulation of defense response to virus	90	18	4.59	5e-07	0.000217676470588235	BP
capup	GO:0070212	protein poly-ADP-ribosylation	22	9	1.12	6e-07	0.000253748571428571	BP
capup	GO:0048518	positive regulation of biological proces...	3837	248	195.74	6.8e-07	0.000269472307692308	BP
capup	GO:0032479	regulation of type I interferon producti...	92	18	4.69	7e-07	0.000269472307692308	BP
capup	GO:0032606	type I interferon production	92	18	4.69	7e-07	0.000269472307692308	BP
capup	GO:0019221	cytokine-mediated signaling pathway	292	36	14.9	7.1e-07	0.000269472307692308	BP
capup	GO:0031325	positive regulation of cellular metaboli...	2144	154	109.37	1.1e-06	0.000407055	BP
capup	GO:1902216	positive regulation of interleukin-4-med...	18	8	0.92	1.2e-06	0.000422914285714286	BP
capup	GO:0071356	cellular response to tumor necrosis fact...	86	17	4.39	1.2e-06	0.000422914285714286	BP
capup	GO:0051173	positive regulation of nitrogen compound...	2045	148	104.32	1.3e-06	0.000447502325581395	BP
capup	GO:0010468	regulation of gene expression	2705	185	137.99	1.6e-06	0.000538254545454546	BP
capup	GO:0001961	positive regulation of cytokine-mediated...	45	12	2.3	1.7e-06	0.000547030434782609	BP
capup	GO:0010604	positive regulation of macromolecule met...	2281	161	116.36	1.7e-06	0.000547030434782609	BP
capup	GO:0035771	interleukin-4-mediated signaling pathway	19	8	0.97	2e-06	0.00061675	BP
capup	GO:1902214	regulation of interleukin-4-mediated sig...	19	8	0.97	2e-06	0.00061675	BP
capup	GO:0010803	regulation of tumor necrosis factor-medi...	25	9	1.28	2.1e-06	0.000634371428571429	BP
capup	GO:0002684	positive regulation of immune system pro...	524	52	26.73	2.5e-06	0.000725588235294118	BP
capup	GO:0051171	regulation of nitrogen compound metaboli...	3290	216	167.83	2.5e-06	0.000725588235294118	BP
capup	GO:0032103	positive regulation of response to exter...	428	45	21.83	2.7e-06	0.000754064150943396	BP
capup	GO:0001817	regulation of cytokine production	322	37	16.43	2.7e-06	0.000754064150943396	BP
capup	GO:0031323	regulation of cellular metabolic process	3520	228	179.57	2.9e-06	0.000780469090909091	BP
capup	GO:0002832	negative regulation of response to bioti...	101	18	5.15	2.9e-06	0.000780469090909091	BP
capup	GO:0035666	TRIF-dependent toll-like receptor signal...	10	6	0.51	3e-06	0.000792964285714286	BP
