group	GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
cgamp	GO:0044389	ubiquitin-like protein ligase binding	283	89	40.74	8.1e-14	2.93544e-10	MF
cgamp	GO:0005515	protein binding	4475	758	644.2	7.9e-13	1.43148e-09	MF
cgamp	GO:0031625	ubiquitin protein ligase binding	272	83	39.16	3.6e-12	3.8052e-09	MF
cgamp	GO:0019899	enzyme binding	1617	323	232.77	4.2e-12	3.8052e-09	MF
cgamp	GO:0140096	catalytic activity, acting on a protein	1577	316	227.02	5.4e-12	3.91392e-09	MF
cgamp	GO:0019787	ubiquitin-like protein transferase activ...	344	92	49.52	7.1e-10	4.2884e-07	MF
cgamp	GO:0004842	ubiquitin-protein transferase activity	331	89	47.65	1e-09	5.17714285714286e-07	MF
cgamp	GO:0031593	polyubiquitin modification-dependent pro...	31	19	4.46	2.2e-09	9.966e-07	MF
cgamp	GO:0061659	ubiquitin-like protein ligase activity	178	54	25.62	2.9e-08	1.16773333333333e-05	MF
cgamp	GO:0004715	non-membrane spanning protein tyrosine k...	24	15	3.45	7.9e-08	2.86296e-05	MF
cgamp	GO:0061630	ubiquitin protein ligase activity	175	52	25.19	1.1e-07	3.624e-05	MF
cgamp	GO:0140030	modification-dependent protein binding	87	32	12.52	1.6e-07	4.832e-05	MF
cgamp	GO:0005043	netrin receptor activity involved in che...	8	8	1.15	1.8e-07	5.01784615384615e-05	MF
cgamp	GO:0004843	cysteine-type deubiquitinase activity	54	23	7.77	4.4e-07	0.000113897142857143	MF
cgamp	GO:0043130	ubiquitin binding	53	22	7.63	1.3e-06	0.00031408	MF
cgamp	GO:0061507	2',3'-cyclic GMP-AMP binding	9	8	1.3	1.4e-06	0.0003171	MF
cgamp	GO:0019783	ubiquitin-like protein peptidase activit...	73	26	10.51	4.7e-06	0.00100192941176471	MF
cgamp	GO:0101005	deubiquitinase activity	66	24	9.5	7.2e-06	0.0014496	MF
cgamp	GO:0005488	binding	6159	948	886.62	8.2e-06	0.00151862857142857	MF
cgamp	GO:0032033	myosin II light chain binding	6	6	0.86	8.8e-06	0.00151862857142857	MF
cgamp	GO:0032038	myosin II heavy chain binding	6	6	0.86	8.8e-06	0.00151862857142857	MF
cgamp	GO:0004175	endopeptidase activity	210	53	30.23	1.9e-05	0.00302	MF
cgamp	GO:0035438	cyclic-di-GMP binding	11	8	1.58	2e-05	0.00302	MF
cgamp	GO:0070628	proteasome binding	37	16	5.33	2e-05	0.00302	MF
cgamp	GO:0008234	cysteine-type peptidase activity	125	36	17.99	2.1e-05	0.00304416	MF
cgamp	GO:0032182	ubiquitin-like protein binding	62	22	8.93	2.7e-05	0.00376338461538462	MF
cgamp	GO:0008233	peptidase activity	378	83	54.41	3.3e-05	0.00442933333333333	MF
cgamp	GO:0005042	netrin receptor activity	12	8	1.73	5.2e-05	0.0064024	MF
cgamp	GO:0019902	phosphatase binding	130	36	18.71	5.3e-05	0.0064024	MF
cgamp	GO:0061578	Lys63-specific deubiquitinase activity	18	10	2.59	5.3e-05	0.0064024	MF
cgamp	GO:0004439	phosphatidylinositol-4,5-bisphosphate 5-...	5	5	0.72	6.1e-05	0.00713109677419355	MF
cgamp	GO:0031072	heat shock protein binding	131	36	18.86	6.3e-05	0.00713475	MF
cgamp	GO:0030544	Hsp70 protein binding	70	23	10.08	7.1e-05	0.00779709090909091	MF
cgamp	GO:0019903	protein phosphatase binding	100	29	14.4	0.00011	0.0117247058823529	MF
cgamp	GO:0043022	ribosome binding	50	18	7.2	0.00012	0.0124251428571429	MF
cgamp	GO:0042169	SH2 domain binding	23	11	3.31	0.00013	0.0130866666666667	MF
cgamp	GO:0004707	MAP kinase activity	8	6	1.15	0.00019	0.01812	MF
cgamp	GO:0046030	inositol trisphosphate phosphatase activ...	8	6	1.15	0.00019	0.01812	MF
cgamp	GO:0019900	kinase binding	541	106	77.88	0.00038	0.0353107692307692	MF
cgamp	GO:0030234	enzyme regulator activity	648	123	93.28	0.00049	0.0438251162790698	MF
cgamp	GO:0045159	myosin II binding	9	6	1.3	5e-04	0.0438251162790698	MF
cgamp	GO:0030554	adenyl nucleotide binding	333	70	47.94	0.00052	0.0438251162790698	MF
cgamp	GO:0051019	mitogen-activated protein kinase binding	30	12	4.32	0.00052	0.0438251162790698	MF
cgamp	GO:0001784	phosphotyrosine residue binding	19	9	2.74	0.00061	0.0491253333333333	MF
cgamp	GO:1990380	Lys48-specific deubiquitinase activity	19	9	2.74	0.00061	0.0491253333333333	MF
cgamp	GO:0012505	endomembrane system	2686	504	382.47	6.1e-15	1.11203e-11	CC
cgamp	GO:0005783	endoplasmic reticulum	1193	240	169.87	1.6e-09	9.72266666666667e-07	CC
cgamp	GO:0031982	vesicle	1530	295	217.86	1.6e-09	9.72266666666667e-07	CC
cgamp	GO:0031410	cytoplasmic vesicle	1436	278	204.48	3.7e-09	1.49486e-06	CC
cgamp	GO:0005737	cytoplasm	7030	1086	1001.02	4.1e-09	1.49486e-06	CC
cgamp	GO:0097708	intracellular vesicle	1442	278	205.33	5.8e-09	1.76223333333333e-06	CC
cgamp	GO:0031984	organelle subcompartment	970	197	138.12	3e-08	7.81285714285714e-06	CC
cgamp	GO:0048471	perinuclear region of cytoplasm	535	120	76.18	1e-07	2.27875e-05	CC
cgamp	GO:0005794	Golgi apparatus	1027	200	146.24	6.1e-07	0.000123558888888889	CC
cgamp	GO:0043229	intracellular organelle	7081	1079	1008.28	7.8e-07	0.000142194	CC
cgamp	GO:0009898	cytoplasmic side of plasma membrane	152	44	21.64	1.7e-06	0.000281736363636364	CC
cgamp	GO:0043226	organelle	7254	1099	1032.91	2.1e-06	0.000308507692307692	CC
cgamp	GO:0005768	endosome	671	138	95.55	2.2e-06	0.000308507692307692	CC
cgamp	GO:0043227	membrane-bounded organelle	6833	1042	972.97	2.9e-06	0.000377621428571429	CC
cgamp	GO:0098562	cytoplasmic side of membrane	175	48	24.92	3.2e-06	0.000388906666666667	CC
cgamp	GO:0012506	vesicle membrane	661	135	94.12	4.2e-06	0.0004785375	CC
cgamp	GO:0005790	smooth endoplasmic reticulum	35	16	4.98	7.3e-06	0.000759583333333333	CC
cgamp	GO:0005789	endoplasmic reticulum membrane	597	123	85.01	7.5e-06	0.000759583333333333	CC
cgamp	GO:0005829	cytosol	3443	562	490.26	8e-06	0.000767578947368421	CC
cgamp	GO:0098827	endoplasmic reticulum subcompartment	607	124	86.43	1.1e-05	0.00100265	CC
cgamp	GO:0043231	intracellular membrane-bounded organelle	6535	996	930.53	1.7e-05	0.0014757619047619	CC
cgamp	GO:0005622	intracellular anatomical structure	8323	1231	1185.13	1.8e-05	0.00149154545454545	CC
cgamp	GO:0030659	cytoplasmic vesicle membrane	638	128	90.85	1.9e-05	0.00150595652173913	CC
cgamp	GO:0042175	nuclear outer membrane-endoplasmic retic...	615	124	87.57	2e-05	0.00151916666666667	CC
cgamp	GO:0031234	extrinsic component of cytoplasmic side ...	68	23	9.68	3.6e-05	0.00262512	CC
cgamp	GO:0036452	ESCRT complex	25	12	3.56	5.7e-05	0.00398359259259259	CC
cgamp	GO:0005795	Golgi stack	117	33	16.66	5.9e-05	0.00398359259259259	CC
cgamp	GO:0031985	Golgi cisterna	86	26	12.25	1e-04	0.00628620689655172	CC
cgamp	GO:0070971	endoplasmic reticulum exit site	16	9	2.28	1e-04	0.00628620689655172	CC
cgamp	GO:0098588	bounding membrane of organelle	1166	209	166.03	0.00011	0.00668433333333333	CC
cgamp	GO:0035631	CD40 receptor complex	27	12	3.84	0.00014	0.00823290322580645	CC
cgamp	GO:0098791	Golgi apparatus subcompartment	475	96	67.64	0.00016	0.009115	CC
cgamp	GO:0031090	organelle membrane	1966	330	279.94	2e-04	0.0110484848484849	CC
cgamp	GO:0005776	autophagosome	66	21	9.4	0.00021	0.0112597058823529	CC
cgamp	GO:0001772	immunological synapse	11	7	1.57	0.00023	0.0119797142857143	CC
cgamp	GO:0098552	side of membrane	368	77	52.4	0.00024	0.0121533333333333	CC
cgamp	GO:0045335	phagocytic vesicle	86	25	12.25	0.00027	0.013302972972973	CC
cgamp	GO:0001726	ruffle	87	25	12.39	0.00033	0.0154253846153846	CC
cgamp	GO:0030139	endocytic vesicle	207	48	29.48	0.00033	0.0154253846153846	CC
cgamp	GO:0005793	endoplasmic reticulum-Golgi intermediate...	92	26	13.1	0.00034	0.0154955	CC
cgamp	GO:1903561	extracellular vesicle	108	29	15.38	0.00041	0.01823	CC
cgamp	GO:0070062	extracellular exosome	106	28	15.09	0.00068	0.0295152380952381	CC
cgamp	GO:0016442	RISC complex	16	8	2.28	0.00073	0.0299782222222222	CC
cgamp	GO:0031332	RNAi effector complex	16	8	2.28	0.00073	0.0299782222222222	CC
cgamp	GO:0005788	endoplasmic reticulum lumen	231	51	32.89	0.00074	0.0299782222222222	CC
cgamp	GO:0043230	extracellular organelle	118	30	16.8	0.00088	0.0341327659574468	CC
cgamp	GO:0065010	extracellular membrane-bounded organelle	118	30	16.8	0.00088	0.0341327659574468	CC
cgamp	GO:0098796	membrane protein complex	641	119	91.27	0.001	0.0379791666666667	CC
cgamp	GO:0030660	Golgi-associated vesicle membrane	64	19	9.11	0.00107	0.0398083673469388	CC
cgamp	GO:0044419	biological process involved in interspec...	1108	261	158.29	9.4e-19	1.391388e-14	BP
cgamp	GO:0098542	defense response to other organism	677	176	96.71	5.8e-17	3.7005e-13	BP
cgamp	GO:0070647	protein modification by small protein co...	763	192	109	7.5e-17	3.7005e-13	BP
cgamp	GO:0002218	activation of innate immune response	119	54	17	2.1e-16	6.51288e-13	BP
cgamp	GO:0050776	regulation of immune response	521	144	74.43	2.2e-16	6.51288e-13	BP
