group	kegg.id	kegg.lab	p.geomean	stat.mean	p.val	q.val	set.size	exp1
cApUp	ko04622	RIG-I-like receptor signaling pathway	9.21162907916414e-05	3.80835350674964	9.21162907916414e-05	0.0170478364981966	144	9.21162907916414e-05
cApUp	ko04623	Cytosolic DNA-sensing pathway	9.74162085611232e-05	3.93486671683663	9.74162085611234e-05	0.0170478364981966	57	9.74162085611232e-05
cApUp	ko04621	NOD-like receptor signaling pathway	0.000245204030949148	3.5051287829786	0.000245204030949148	0.0286071369440673	361	0.000245204030949149
cApUp	ko04658	Th1 and Th2 cell differentiation	0.000737722941378563	3.26773583663991	0.000737722941378563	0.0645507573706242	69	0.000737722941378563
cApUp	ko04064	NF-kappa B signaling pathway	0.00239491761766854	2.84860403685889	0.00239491761766855	0.141830017558979	144	0.00239491761766854
cApUp	ko04657	IL-17 signaling pathway	0.00257001481694639	2.8216639318381	0.0025700148169464	0.141830017558979	155	0.00257001481694639
cApUp	ko05167	Kaposi sarcoma-associated herpesvirus infection	0.00337642569406607	2.72778106951747	0.00337642569406607	0.141830017558979	168	0.00337642569406607
cApUp	ko04668	TNF signaling pathway	0.00356414444201772	2.71182009983244	0.00356414444201773	0.141830017558979	159	0.00356414444201772
cApUp	ko05321	Inflammatory bowel disease	0.00365602976203201	3.08282236219149	0.00365602976203202	0.141830017558979	14	0.00365602976203201
cApUp	ko05160	Hepatitis C	0.00405228621597084	2.67090767570216	0.00405228621597084	0.141830017558979	143	0.00405228621597084
cApUp	ko04380	Osteoclast differentiation	0.00692571293976689	2.47757317315305	0.0069257129397669	0.198208853387324	151	0.00692571293976689
cApUp	ko04620	Toll-like receptor signaling pathway	0.00726018201019846	2.46265688671256	0.00726018201019845	0.198208853387324	137	0.00726018201019846
cApUp	ko05168	Herpes simplex virus 1 infection	0.00736204312581489	2.45102252207569	0.00736204312581488	0.198208853387324	212	0.00736204312581489
cApUp	ko00590	Arachidonic acid metabolism	0.0082825251558812	2.42226968796896	0.00828252515588118	0.20706312889703	81	0.00828252515588119
cApUp	ko04920	Adipocytokine signaling pathway	0.0095928886887194	2.37893145723569	0.00959288868871939	0.223834069403453	67	0.0095928886887194
cApUp	ko04360	Axon guidance	0.0103003157355464	2.32589387580098	0.0103003157355464	0.225319406715077	193	0.0103003157355464
cApUp	ko05169	Epstein-Barr virus infection	0.012892446281034	2.23729315858154	0.0128924462810341	0.256409267143037	246	0.012892446281034
cApUp	ko04930	Type II diabetes mellitus	0.0131867623102133	2.30698673116281	0.0131867623102133	0.256409267143037	30	0.0131867623102133
cApUp	ko04660	T cell receptor signaling pathway	0.0160023947218234	2.17262650456308	0.0160023947218234	0.294780955402011	61	0.0160023947218235
cApUp	ko05132	Salmonella infection	0.017003052942634	2.13954936270326	0.0170030529426341	0.297553426496096	84	0.0170030529426341
cApUp	ko05231	Choline metabolism in cancer	0.0185633353486341	2.10073641735625	0.0185633353486341	0.309388922477235	94	0.0185633353486341
cApUp	ko04210	Apoptosis	0.0219609253485482	2.02391176415847	0.0219609253485482	0.338050109486743	157	0.0219609253485482
cApUp	ko04662	B cell receptor signaling pathway	0.0228855661231208	2.0243909015183	0.0228855661231208	0.338050109486743	52	0.0228855661231208
cApUp	ko00140	Steroid hormone biosynthesis	0.0231805789362338	2.009184803454	0.0231805789362338	0.338050109486743	74	0.0231805789362338
cApUp	ko05131	Shigellosis	0.028273272696638	1.92151548666794	0.028273272696638	0.38832254219024	78	0.028273272696638
cApUp	ko04060	Cytokine-cytokine receptor interaction	0.0288468174198464	1.91989468533175	0.0288468174198464	0.38832254219024	59	0.0288468174198464
cApUp	ko05162	Measles	0.0367501311059879	1.79554356774523	0.0367501311059879	0.461211807621658	182	0.0367501311059879
cApUp	ko05203	Viral carcinogenesis	0.0368969446097326	1.79281196194289	0.0368969446097326	0.461211807621658	209	0.0368969446097326
cApUp	ko04659	Th17 cell differentiation	0.0396247354755801	1.77487076912095	0.0396247354755801	0.467468115448581	52	0.0396247354755801
cApUp	ko04141	Protein processing in endoplasmic reticulum	0.0409059879124153	1.74549834033331	0.0409059879124153	0.467468115448581	182	0.0409059879124153
cApUp	ko05161	Hepatitis B	0.0416733221298519	1.73895435634017	0.0416733221298519	0.467468115448581	134	0.0416733221298519
cApUp	ko04950	Maturity onset diabetes of the young	0.0442023612408022	1.74078967596127	0.0442023612408022	0.467468115448581	34	0.0442023612408022
cApUp	ko05164	Influenza A	0.044403684506829	1.70619608908806	0.0444036845068291	0.467468115448581	202	0.044403684506829
cApUp	ko05130	Pathogenic Escherichia coli infection	0.04885084248793	1.66615663952478	0.04885084248793	0.467468115448581	80	0.04885084248793
cApUp	ko00830	Retinol metabolism	0.0499256203916672	1.66183266256331	0.0499256203916672	0.467468115448581	49	0.0499256203916672
cApUp	ko05202	Transcriptional misregulation in cancer	0.0502282865429248	1.64825819416695	0.0502282865429248	0.467468115448581	154	0.0502282865429248
cApUp	ko00330	Arginine and proline metabolism	0.0519622284165261	1.6326004948513	0.0519622284165261	0.467468115448581	116	0.0519622284165261
cApUp	ko04722	Neurotrophin signaling pathway	0.0529626186178933	1.62048178672204	0.0529626186178933	0.467468115448581	200	0.0529626186178933
cApUp	ko04917	Prolactin signaling pathway	0.0533057979722785	1.63031587661921	0.0533057979722785	0.467468115448581	45	0.0533057979722785
cApUp	ko04010	MAPK signaling pathway	0.0543576198289831	1.60616876072854	0.0543576198289831	0.467468115448581	339	0.0543576198289831
cApUp	ko04530	Tight junction	0.0572735400603061	1.58394167906729	0.0572735400603061	0.467468115448581	125	0.0572735400603061
cApUp	ko04976	Bile secretion	0.0580993659511503	1.57677282415732	0.0580993659511503	0.467468115448581	118	0.0580993659511503
cApUp	ko03320	PPAR signaling pathway	0.0591047634286367	1.57541662761975	0.0591047634286367	0.467468115448581	54	0.0591047634286367
cApUp	ko04071	Sphingolipid signaling pathway	0.0615663806631425	1.54894214472905	0.0615663806631426	0.467468115448581	106	0.0615663806631425
cApUp	ko00120	Primary bile acid biosynthesis	0.0626644277717011	1.55598390386429	0.0626644277717012	0.467468115448581	30	0.0626644277717011
cApUp	ko04624	Toll and Imd signaling pathway	0.0647145874149817	1.53314159299538	0.0647145874149817	0.467468115448581	47	0.0647145874149817
cApUp	ko00591	Linoleic acid metabolism	0.0654745355946806	1.53229383389272	0.0654745355946807	0.467468115448581	31	0.0654745355946807
cApUp	ko04320	Dorso-ventral axis formation	0.0665511345413213	1.51570870476108	0.0665511345413213	0.467468115448581	48	0.0665511345413213
cApUp	ko04932	Non-alcoholic fatty liver disease	0.0666176466429461	1.50673398530636	0.0666176466429461	0.467468115448581	132	0.0666176466429461
cApUp	ko03030	DNA replication	0.0668397400537328	1.51158680146643	0.0668397400537328	0.467468115448581	54	0.0668397400537328
cApUp	ko05120	Epithelial cell signaling in Helicobacter pylori infection	0.0681167825367932	1.50195478756754	0.0681167825367932	0.467468115448581	58	0.0681167825367932
cApUp	ko04330	Notch signaling pathway	0.0726412015617976	1.46521146498941	0.0726412015617976	0.488931164358253	66	0.0726412015617976
cApUp	ko05150	Staphylococcus aureus infection	0.0759053877458385	1.45296046209113	0.0759053877458384	0.50126199454799	31	0.0759053877458385
