query	KEGG_Pathway
Cvig_XP_022286047.1	ko00230
Cvig_XP_022286047.1	ko00240
Cvig_XP_022286047.1	ko00760
Cvig_XP_022286047.1	ko01100
Cvig_XP_022286047.1	ko01110
Cvig_XP_022286047.1	map00230
Cvig_XP_022286047.1	map00240
Cvig_XP_022286047.1	map00760
Cvig_XP_022286047.1	map01100
Cvig_XP_022286047.1	map01110
Cvig_XP_022286087.1	ko04024
Cvig_XP_022286087.1	ko04740
Cvig_XP_022286087.1	map04024
Cvig_XP_022286087.1	map04740
Cvig_XP_022286088.1	ko04024
Cvig_XP_022286088.1	ko04740
Cvig_XP_022286088.1	map04024
Cvig_XP_022286088.1	map04740
Cvig_XP_022286092.1	ko04974
Cvig_XP_022286092.1	map04974
Cvig_XP_022286093.1	ko04974
Cvig_XP_022286093.1	map04974
Cvig_XP_022286094.1	ko04974
Cvig_XP_022286094.1	map04974
Cvig_XP_022286095.1	ko04974
Cvig_XP_022286095.1	map04974
Cvig_XP_022286096.1	ko04974
Cvig_XP_022286096.1	map04974
Cvig_XP_022286097.1	ko04974
Cvig_XP_022286097.1	map04974
Cvig_XP_022286098.1	ko04974
Cvig_XP_022286098.1	map04974
Cvig_XP_022286101.1	ko00250
Cvig_XP_022286101.1	ko00410
Cvig_XP_022286101.1	ko00430
Cvig_XP_022286101.1	ko00650
Cvig_XP_022286101.1	ko00770
Cvig_XP_022286101.1	ko01100
Cvig_XP_022286101.1	ko01110
Cvig_XP_022286101.1	ko01120
Cvig_XP_022286101.1	ko02024
Cvig_XP_022286101.1	ko04727
Cvig_XP_022286101.1	ko04940
Cvig_XP_022286101.1	map00250
Cvig_XP_022286101.1	map00410
Cvig_XP_022286101.1	map00430
Cvig_XP_022286101.1	map00650
Cvig_XP_022286101.1	map00770
Cvig_XP_022286101.1	map01100
Cvig_XP_022286101.1	map01110
Cvig_XP_022286101.1	map01120
Cvig_XP_022286101.1	map02024
Cvig_XP_022286101.1	map04727
Cvig_XP_022286101.1	map04940
Cvig_XP_022286102.1	ko03013
Cvig_XP_022286102.1	map03013
Cvig_XP_022286105.1	ko00230
Cvig_XP_022286105.1	ko04022
Cvig_XP_022286105.1	ko04024
Cvig_XP_022286105.1	ko04270
Cvig_XP_022286105.1	ko04714
Cvig_XP_022286105.1	ko04921
Cvig_XP_022286105.1	ko04923
Cvig_XP_022286105.1	ko04924
Cvig_XP_022286105.1	ko04925
Cvig_XP_022286105.1	map00230
Cvig_XP_022286105.1	map04022
Cvig_XP_022286105.1	map04024
Cvig_XP_022286105.1	map04270
Cvig_XP_022286105.1	map04714
Cvig_XP_022286105.1	map04921
Cvig_XP_022286105.1	map04923
Cvig_XP_022286105.1	map04924
Cvig_XP_022286105.1	map04925
Cvig_XP_022286118.1	ko04010
Cvig_XP_022286118.1	map04010
Cvig_XP_022286119.1	ko04120
Cvig_XP_022286119.1	map04120
Cvig_XP_022286134.1	ko04014
Cvig_XP_022286134.1	map04014
Cvig_XP_022286160.1	ko04110
Cvig_XP_022286160.1	ko04114
Cvig_XP_022286160.1	ko04115
Cvig_XP_022286160.1	ko04151
Cvig_XP_022286160.1	ko04218
Cvig_XP_022286160.1	ko04391
Cvig_XP_022286160.1	ko04934
Cvig_XP_022286160.1	ko05161
Cvig_XP_022286160.1	ko05162
Cvig_XP_022286160.1	ko05165
Cvig_XP_022286160.1	ko05200
Cvig_XP_022286160.1	ko05203
Cvig_XP_022286160.1	ko05206
Cvig_XP_022286160.1	ko05215
Cvig_XP_022286160.1	ko05222
Cvig_XP_022286160.1	ko05226
Cvig_XP_022286160.1	map04110
Cvig_XP_022286160.1	map04114
Cvig_XP_022286160.1	map04115
Cvig_XP_022286160.1	map04151
Cvig_XP_022286160.1	map04218
Cvig_XP_022286160.1	map04391
Cvig_XP_022286160.1	map04934
Cvig_XP_022286160.1	map05161
Cvig_XP_022286160.1	map05162
Cvig_XP_022286160.1	map05165
Cvig_XP_022286160.1	map05200
Cvig_XP_022286160.1	map05203
Cvig_XP_022286160.1	map05206
Cvig_XP_022286160.1	map05215
Cvig_XP_022286160.1	map05222
Cvig_XP_022286160.1	map05226
Cvig_XP_022286173.1	ko04136
Cvig_XP_022286173.1	ko04137
Cvig_XP_022286173.1	ko04138
Cvig_XP_022286173.1	ko04139
Cvig_XP_022286173.1	ko04140
Cvig_XP_022286173.1	ko04150
Cvig_XP_022286173.1	ko04152
Cvig_XP_022286173.1	ko04211
Cvig_XP_022286173.1	ko04212
Cvig_XP_022286173.1	map04136
Cvig_XP_022286173.1	map04137
Cvig_XP_022286173.1	map04138
Cvig_XP_022286173.1	map04139
Cvig_XP_022286173.1	map04140
Cvig_XP_022286173.1	map04150
Cvig_XP_022286173.1	map04152
Cvig_XP_022286173.1	map04211
Cvig_XP_022286173.1	map04212
Cvig_XP_022286174.1	ko04136
Cvig_XP_022286174.1	ko04137
Cvig_XP_022286174.1	ko04138
Cvig_XP_022286174.1	ko04139
Cvig_XP_022286174.1	ko04140
Cvig_XP_022286174.1	ko04150
Cvig_XP_022286174.1	ko04152
Cvig_XP_022286174.1	ko04211
Cvig_XP_022286174.1	ko04212
Cvig_XP_022286174.1	map04136
Cvig_XP_022286174.1	map04137
Cvig_XP_022286174.1	map04138
Cvig_XP_022286174.1	map04139
Cvig_XP_022286174.1	map04140
Cvig_XP_022286174.1	map04150
Cvig_XP_022286174.1	map04152
Cvig_XP_022286174.1	map04211
Cvig_XP_022286174.1	map04212
Cvig_XP_022286175.1	ko04136
Cvig_XP_022286175.1	ko04137
Cvig_XP_022286175.1	ko04138
Cvig_XP_022286175.1	ko04139
Cvig_XP_022286175.1	ko04140
Cvig_XP_022286175.1	ko04150
Cvig_XP_022286175.1	ko04152
Cvig_XP_022286175.1	ko04211
Cvig_XP_022286175.1	ko04212
Cvig_XP_022286175.1	map04136
Cvig_XP_022286175.1	map04137
Cvig_XP_022286175.1	map04138
Cvig_XP_022286175.1	map04139
Cvig_XP_022286175.1	map04140
Cvig_XP_022286175.1	map04150
Cvig_XP_022286175.1	map04152
Cvig_XP_022286175.1	map04211
Cvig_XP_022286175.1	map04212
Cvig_XP_022286178.1	ko04115
Cvig_XP_022286178.1	ko04150
Cvig_XP_022286178.1	ko04211
Cvig_XP_022286178.1	map04115
Cvig_XP_022286178.1	map04150
Cvig_XP_022286178.1	map04211
Cvig_XP_022286180.1	ko00514
Cvig_XP_022286180.1	ko03040
Cvig_XP_022286180.1	map00514
Cvig_XP_022286180.1	map03040
Cvig_XP_022286187.1	ko04010
Cvig_XP_022286187.1	map04010
Cvig_XP_022286190.1	ko04142
Cvig_XP_022286190.1	map04142
Cvig_XP_022286191.1	ko00563
Cvig_XP_022286191.1	ko01100
Cvig_XP_022286191.1	map00563
Cvig_XP_022286191.1	map01100
Cvig_XP_022286194.1	ko00072
Cvig_XP_022286194.1	ko00650
Cvig_XP_022286194.1	ko00830
Cvig_XP_022286194.1	ko01100
Cvig_XP_022286194.1	map00072
Cvig_XP_022286194.1	map00650
Cvig_XP_022286194.1	map00830
Cvig_XP_022286194.1	map01100
Cvig_XP_022286197.1	ko04141
Cvig_XP_022286197.1	ko05014
Cvig_XP_022286197.1	map04141
Cvig_XP_022286197.1	map05014
Cvig_XP_022286198.1	ko04141
Cvig_XP_022286198.1	ko05014
Cvig_XP_022286198.1	map04141
Cvig_XP_022286198.1	map05014
Cvig_XP_022286199.1	ko04141
Cvig_XP_022286199.1	ko05014
Cvig_XP_022286199.1	map04141
Cvig_XP_022286199.1	map05014
Cvig_XP_022286201.1	ko00030
Cvig_XP_022286201.1	ko00053
Cvig_XP_022286201.1	ko00930
Cvig_XP_022286201.1	ko01100
Cvig_XP_022286201.1	ko01110
Cvig_XP_022286201.1	ko01120
Cvig_XP_022286201.1	ko01130
Cvig_XP_022286201.1	ko01200
Cvig_XP_022286201.1	ko01220
Cvig_XP_022286201.1	ko04111
Cvig_XP_022286201.1	map00030
Cvig_XP_022286201.1	map00053
Cvig_XP_022286201.1	map00930
