gene_cvig	gene_spis	pfam	og	treatment	baseMean_spis	log2FoldChange_spis	lfcSE_spis	pvalue_spis	padj_spis	label_spis	baseMean_cvig	log2FoldChange_cvig	lfcSE_cvig	pvalue_cvig	padj_cvig
Cvig_XP_022332636.1	Spis_XP_022802169_1	""	ring_finger_protein_213	cApUp	261.939374236364	1.00946457451377	0.344922014769048	8.80799690997411e-05	0.00170825722249052	none	2997.72461186018	2.43023684489257	0.304210608375482	1.19645109622991e-17	4.50382456212083e-16
Cvig_XP_022320242.1	Spis_XP_022806615_1	Death/Death/	TNF_receptor_superfamily_member_25	cApUp	213.117385266483	1.01948407506978	0.159355135462804	7.04500018175921e-12	6.5714196139854e-10	none	611.461940914215	2.82602419811097	0.306188951069552	2.0757184302935e-22	1.21256551636312e-20
Cvig_XP_022327709.1	Spis_XP_022806615_1	Death/Death/	TNF_receptor_superfamily_member_25	cApUp	213.117385266483	1.01948407506978	0.159355135462804	7.04500018175921e-12	6.5714196139854e-10	none	443.367397054281	2.72937958149574	0.255730130914172	1.09132175286154e-28	1.18709464462128e-26
Cvig_XP_022296417.1	Spis_XP_022801897_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_12A	cApUp	293.426547588492	1.03119136173556	0.491887444944673	0.000758071887275338	0.00962681673813835	none	257.646821670419	1.54060246319749	0.300812945018196	1.85252652115751e-08	2.12192988779642e-07
Cvig_XP_022323065.1	Spis_XP_022801897_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_12A	cApUp	293.426547588492	1.03119136173556	0.491887444944673	0.000758071887275338	0.00962681673813835	none	595.175695451328	2.39611415207838	0.222415579653399	4.24449360919608e-29	4.73118554424348e-27
Cvig_XP_022326099.1	Spis_XP_022801897_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_12A	cApUp	293.426547588492	1.03119136173556	0.491887444944673	0.000758071887275338	0.00962681673813835	none	951.199779333325	2.09975714222607	0.25563860358508	3.01626289916998e-18	1.20593172565674e-16
Cvig_XP_022326105.1	Spis_XP_022801897_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_12A	cApUp	293.426547588492	1.03119136173556	0.491887444944673	0.000758071887275338	0.00962681673813835	none	171.755648727453	2.11065100322491	0.407370977531636	3.06042798992221e-09	3.99922124863695e-08
Cvig_XP_022326987.1	Spis_XP_022801897_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_12A	cApUp	293.426547588492	1.03119136173556	0.491887444944673	0.000758071887275338	0.00962681673813835	none	465.509089098155	1.2180699487176	0.167447788677719	5.73978276021208e-14	1.46489843989393e-12
Cvig_XP_022299069.1	Spis_XP_022786817_1	HEPN_DZIP3/AAA_22/	""	cApUp	896.576940312721	1.04927558894518	0.341631033863537	5.43045905364274e-05	0.00113768601171949	none	79.88770708521	1.2266712406671	0.384765028196493	0.000204385025148224	0.00102795370189744
Cvig_XP_022286972.1	Spis_XP_022802774_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_12A	cApUp	1269.99241605384	1.0548988085996	0.26335104377693	2.00339947298245e-06	6.47756643905441e-05	none	425.365477509428	1.03672547285824	0.225784060243442	1.13985278310132e-06	9.46476863462254e-06
