gene	group	gene_id	gene_description	tf_family
Cvig_LOC111127511	1	111127511	- && sp|Q9QXF7|CP2J4_RAT Cytochrome P450 2J4 OS=Rattus norvegicus OX=10116 GN=CYP2J4 PE=1 SV=1 && PF00067:Cytochrome P450	p450
Cvig_LOC111136231	1	111136231	uncharacterized LOC111136231 && - && -	""
Cvig_novel.164	1	novel.164	- && - && PF02229:Transcriptional Coactivator p15 (PC4)	""
Cvig_LOC111122683	1	111122683	cytochrome P450 2J2-like%2C transcript variant X1 && sp|Q9QXF7|CP2J4_RAT Cytochrome P450 2J4 OS=Rattus norvegicus OX=10116 GN=CYP2J4 PE=1 SV=1 && PF00067:Cytochrome P450	p450
Cvig_novel.360	1	novel.360	""	""
Cvig_LOC111101662	1	111101662	uncharacterized LOC111101662 && - && PF17517:IgGFc binding protein	""
Cvig_LOC111124352	1	111124352	platelet binding protein GspB-like && - && -	""
Cvig_LOC111101093	1	111101093	leucine-rich repeat-containing G-protein coupled receptor 4-like%2C transcript variant X1 && - && PF13855:Leucine rich repeat	""
Cvig_LOC111137274	1	111137274	interferon-induced very large GTPase 1-like && - && PF01823:MAC/Perforin domain	""
Cvig_LOC111102758	1	111102758	uncharacterized LOC111102758%2C transcript variant X1 && - && PF00001:7 transmembrane receptor (rhodopsin family)	7tm_1
Cvig_LOC111131073	1	111131073	uncharacterized LOC111131073%2C transcript variant X1 && - && -	""
Cvig_LOC111129165	1	111129165	estrogen receptor beta-like && sp|P81559|ESR1_XENLA Estrogen receptor OS=Xenopus laevis OX=8355 GN=esr1 PE=2 SV=1 && PF00105:Zinc finger, C4 type (two domains)|PF00104:Ligand-binding domain of nuclear hormone receptor	zf-C4
Cvig_LOC111137655	1	111137655	protein ZINC INDUCED FACILITATOR-LIKE 1-like%2C transcript variant X2 && sp|Q94BZ1|ZIFL1_ARATH Protein ZINC INDUCED FACILITATOR-LIKE 1 OS=Arabidopsis thaliana OX=3702 GN=ZIFL1 PE=2 SV=1 && PF07690:Major Facilitator Superfamily	MFS_1
Cvig_LOC111126548	1	111126548	adhesion G-protein coupled receptor G6-like%2C transcript variant X1 && sp|Q86SQ4|AGRG6_HUMAN Adhesion G-protein coupled receptor G6 OS=Homo sapiens OX=9606 GN=ADGRG6 PE=1 SV=3 && PF00002:7 transmembrane receptor (Secretin family)|PF01825:GPCR proteolysis site, GPS, motif	7tm_2
Cvig_LOC111105324	1	111105324	runt-related transcription factor 1-like%2C transcript variant X3 && sp|Q03347|RUNX1_MOUSE Runt-related transcription factor 1 OS=Mus musculus OX=10090 GN=Runx1 PE=1 SV=1 && PF00853:Runt domain	Runt
