Spis_XP_022795880_1	NFAT 	RHD_DNA_bind/RHD_dimer/
Spis_XP_022806069_1	 IRF1/IRF2	IRF
Spis_XP_022802946_1	 IRF1/IRF2	IRF
Spis_XP_022802168_1	IRF3/4/5/6/7/8/9	IRF
Spis_XP_022792639_1	ATF3/JDP2	bZIP
Spis_XP_022801441_1	Homeobox_unclassified	Homeobox/
Spis_XP_022787195_1	protein HEXIM-like isoform X2	HEXIM/
Spis_XP_022807111_1	Perforin	MACPF/
Spis_XP_022796612_1	lipopolysaccharide_binding_protein	LBP_BPI_CETP/LBP_BPI_CETP_C/
Spis_XP_022796636_1	lipopolysaccharide_binding_protein	LBP_BPI_CETP/LBP_BPI_CETP_C/
Spis_XP_022805190_1	prosaposin/granulysin	SapA/SapB_1/SapB_2/SapB_1/SapB_2/SapB_1/SapB_2/SapA/
Spis_XP_022785526_1	DUF4773/	DUF4773/
Spis_XP_022802936_1	DUF4773/DUF4773/	DUF4773/DUF4773/
Spis_XP_022779205_1	Endonuclease_NS/	Endonuclease_NS/
Spis_XP_022799073_1	C_type_lectin_domain_family_4_member_C	Lectin_C/
Spis_XP_022802268_1	tyrosinase	Tyrosinase/Tyrosinase/
Spis_XP_022804381_1	uncharacterized protein LOC111341669	ApeC/
Spis_XP_022783044_1	uncharacterized protein LOC111323869	ApeC/CUB/
Spis_XP_022810471_1	Nod-like receptor (NLR_family_pyrin_domain_containing_12)	NACHT/LRR_6/
Spis_XP_022788614_1	Nod-like receptor (NLR_family_pyrin_domain_containing_12)	NACHT/LRR_6/LRR_6/LRR_6/LRR_6/LRR_6/LRR_6/LRR_6/
Spis_XP_022799424_1	Interleukin1 receptor	Ig_3/ig/TIR_2/
Spis_XP_022799423_1	Interleukin1 receptor	Ig_3/Ig_3/ig/ig/ig/TIR_2/
Spis_XP_022784236_1	Hedgeling	HH_signal/VWA/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Ig_3/Ig_3/EGF/SH2/
Spis_XP_022789435_1	delta_like_canonical_Notch_ligand_1	DSL/EGF/hEGF/hEGF/hEGF/hEGF/EGF/hEGF/hEGF/EGF/EGF/EGF/EGF/EGF/EGF_CA/EGF/EGF_CA/EGF/
Spis_XP_022803635_1	ret_proto_oncogene	Ig_3/SEA/Pkinase_Tyr/
Spis_XP_022785107_1	ret_proto_oncogene	Pkinase_Tyr/
Spis_XP_022778684_1	SEFIR/	SEFIR/
Spis_XP_022800213_1	CD36_molecule	CD36/CD36/
Spis_XP_022781880_1	calcium_sensing_receptor	ANF_receptor/NCD3G/7tm_3/
Spis_XP_022798998_1	calcium_sensing_receptor	ANF_receptor/7tm_3/
Spis_XP_022786554_1	gamma_aminobutyric_acid_type_B_receptor_subunit_1	ANF_receptor/7tm_3/
Spis_XP_022789620_1	GPCR_7tm1	7tm_1/
Spis_XP_022800134_1	protein_tyrosine_phosphatase_receptor_type_D	I-set/I-set/Ig_3/I-set/Ig_3/I-set/I-set/I-set/I-set/I-set/Ig_3/I-set/Ig_3/Ig_3/I-set/fn3/fn3/fn3/fn3/Y_phosphatase/Y_phosphatase/
Spis_XP_022809496_1	C_type_lectin_domain_family_4_member_E	Lectin_C/
Spis_XP_022779048_1	heat_shock_protein_family_A_Hsp70_member_8	HSP70/
Spis_XP_022804823_1	DnaJ_heat_shock_protein_family_Hsp40_member_B4	DnaJ/DnaJ_C/
